"phrase","definition","example","example_translation","context_type"
"I can't stand it","（口語）表示再也受不了某事","The drilling started before dawn, and Jay said, 'I can't stand it anymore.'","鑽牆聲天沒亮就開始，傑說：『我再也受不了了。』","A2"
"It slipped my mind","（口語）表示一時忘了某件事","'It slipped my mind,' I admitted when Jo asked about the file.","喬問起檔案時，我坦承：『我一時忘了。』","B1"
"It happens","（口語）安慰對方偶爾出錯很正常","After I spilled the soup, Ana smiled and said, 'It happens.'","我打翻湯後，安娜笑著說：『這種事難免會發生。』","A2"
"What did you say","沒聽清楚時請對方重複剛才的話","A train roared past, so I asked, 'What did you say?'","一列火車呼嘯而過，我便問：『你剛才說什麼？』","A1"
"You're breaking up","通話斷斷續續時告知對方訊號不穩","'You're breaking up,' Dana said as I entered the elevator.","我走進電梯時，黛娜說：『你的聲音斷斷續續的。』","A2"
"I can't hear you","表示聽不見或聽不清對方說話","Over the factory noise, Ken shouted, 'I can't hear you.'","工廠噪音太大，肯喊道：『我聽不見你說話。』","A1"
"Speak up please","請對方提高音量，語氣較直接","From the back row, Ella said, 'Speak up please; we can't hear.'","艾拉從後排說：『請大聲一點，我們聽不見。』","A2"
"What day is today","（口語）詢問今天是星期幾","'What day is today?' 'It's Friday—the concert is tonight.'","『今天星期幾？』『星期五，演唱會就在今晚。』","A1"
"Today is Monday","陳述今天是星期一","Owen checked the school calendar and said, 'Today is Monday.'","歐文看了學校行事曆後說：『今天是星期一。』","A1"
"See you around","（口語）道別並表示之後有機會再見","As we left the gym, Tessa waved and said, 'See you around.'","離開健身房時，泰莎揮手說：『改天見。』","A2"
"Be right back","（口語）表示自己很快就會回來","'Be right back,' the clerk said before checking the stockroom.","店員去倉庫查貨前說：『我馬上回來。』","A1"
"Is it cold outside","詢問外面的天氣是否寒冷","Before school, Mia asked her brother, 'Is it cold outside?'","上學前，米雅問哥哥：『外面冷嗎？』","A1"
"It's chilly out","（口語）表示外面有點冷","My roommate grabbed a coat and warned, 'It's chilly out.'","室友拿起外套提醒我：『外面有點涼。』","A2"
"What's up","（口語）打招呼或詢問發生什麼事","Ravi saw my worried face and asked, 'What's up?'","拉維看到我擔心的神情，便問：『怎麼了？』","A1"
"Can't complain","（口語）表示近況還不錯，沒什麼好抱怨","'How's life?' my neighbor asked. 'Can't complain,' I replied.","鄰居問我近況如何，我回答：『還不錯，沒什麼好抱怨的。』","B1"
"Same here","（口語）表示自己的情況或感受也一樣","'I'm exhausted after that hike.' 'Same here.'","『走完那段山路，我累壞了。』『我也是。』","A1"
"Am I right","說完看法後向對方確認是否正確","Omar asked the team, 'The deadline is Friday. Am I right?'","奧瑪問團隊：『截止日是星期五，我說得對吧？』","A2"
"There you go","（口語）表示事情完成或對方做對了","After Lily finally tied her shoelaces by herself, her dad smiled and said, 'There you go.'","莉莉終於自己綁好鞋帶，爸爸笑著說：『這樣就對了。』","A2"
"Listen up","（口語）要大家注意聽接下來的話","The coach blew her whistle and said, 'Listen up, everyone.'","教練吹響哨子後說：『大家注意聽。』","A2"
"Think it over","請對方仔細考慮後再作決定","The manager offered me the role and said, 'Think it over tonight.'","經理提出職位邀請，並說：『今晚仔細考慮一下。』","B1"
"It's up to you","表示決定由對方自行作主","Ben said, 'It's up to you—we can cook or order pizza.'","班說：『由你決定，我們可以煮飯或叫披薩。』","A2"
"Is that clear","確認對方是否理解，語氣可能較嚴肅","After explaining the safety rule, the supervisor asked, 'Is that clear?'","主管說明安全規定後問：『都清楚了嗎？』","A2"
"I'm behind you","表示支持對方及其決定","Before my sister's audition, I told her, 'I'm behind you all the way.'","妹妹試鏡前，我告訴她：『我會全力支持你。』","B1"
"Time to go","表示到了該離開或出發的時候","Mom gathered our coats and announced, 'Time to go.'","媽媽收好我們的外套，宣布：『該走了。』","A1"
"Come with me","請對方跟自己一起前往某處","The nurse opened the door and said, 'Come with me, please.'","護理師打開門說：『請跟我來。』","A1"
"Have you eaten","關心或詢問對方是否已經吃過飯","Grandma called me after my shift and asked, 'Have you eaten?'","我下班後，奶奶打電話來問：『你吃過飯了嗎？』","A1"
"Let's grab coffee","（口語）提議一起去喝杯咖啡","After the workshop, Zoe said, 'Let's grab coffee across the street.'","工作坊結束後，柔伊說：『我們去對街喝杯咖啡吧。』","A2"
"My treat","（口語）表示這次由自己請客付錢","'My treat,' Carlos said on my birthday. 'Order dessert too.'","我生日那天，卡洛斯說：『這次我請客，甜點也點吧。』","A2"
"Table for two","在餐廳表示需要兩人座位","At the entrance, I told the host, 'Table for two, please.'","在餐廳入口，我告訴接待員：『麻煩安排兩人桌。』","A1"
"Long time no see","（口語）久別重逢時向對方打招呼","I ran into my former classmate and said, 'Long time no see!'","我巧遇以前的同學，便說：『好久不見！』","A2"
"Talk to you later","（口語）結束談話並表示稍後再聊","My train arrived, so I ended the call with, 'Talk to you later.'","我的火車到了，於是我在電話中說：『晚點再聊。』","A1"
"Sorry to bother you","禮貌地為打擾對方先表示歉意","I knocked next door and said, 'Sorry to bother you, but may I borrow a ladder?'","我敲了鄰居的門說：『抱歉打擾了，可以借我梯子嗎？』","A2"
"Are you in line","詢問對方是否正在排隊","At the bakery, I asked the woman ahead of me, 'Are you in line?'","在麵包店，我問前面的女士：『您有在排隊嗎？』","A1"
"It sure is","（口語）強調同意對方剛才的說法","'It's humid today.' 'It sure is—I started sweating outside.'","『今天很潮濕。』『真的，我在外面都流汗了。』","A2"
"It's all good","（口語）表示沒事或不介意對方的過失","'Sorry I spilled some water.' 'It's all good; I'll wipe it up.'","『抱歉，我灑了點水。』『沒事，我擦掉就好。』","A2"
"Check please","在餐廳請服務人員拿帳單來","After dessert, Maya caught the server's eye and said, 'Check please.'","吃完甜點後，瑪雅示意服務生並說：『麻煩結帳。』","A1"
"Let's split the bill","提議大家各自分攤餐費","When dinner ended, Amir suggested, 'Let's split the bill evenly.'","晚餐結束後，阿米爾提議：『我們平均分攤帳單吧。』","A2"
"To go box please","在餐廳請服務人員提供外帶盒","I had half my pasta left, so I asked, 'To go box please.'","我的義大利麵還剩一半，便說：『麻煩給我一個外帶盒。』","A2"
"I'm all set","（口語）表示不再需要協助或已準備好","The clerk offered another bag, but I said, 'I'm all set, thanks.'","店員問我是否還要袋子，我回答：『不用了，謝謝。』","A2"
"Catch you later","（隨意口語）道別並表示之後再見","At the office door, Devin waved and said, 'Catch you later.'","在辦公室門口，德文揮手說：『晚點見。』","A2"
"How come","（口語）詢問原因，相當於為什麼","'The pool is closed today.' 'How come?'","『游泳池今天沒開。』『為什麼？』","A2"
"That makes sense","表示理解並認同對方的解釋","After the manager explained the change, I said, 'That makes sense.'","經理說明變動後，我說：『這樣就說得通了。』","A2"
"I'm leaving","表示自己正要離開或即將出發","'I'm leaving now, so lock the door behind me,' Ava told her roommate.","艾娃告訴室友：『我現在要出門了，記得把門鎖上。』","A1"
"See you then","確認約定時間後表示到時見","'See you then,' I replied after confirming our ten o'clock appointment.","確認約在十點後，我回答：『到時見。』","A1"
"You okay","（口語）關心對方是否安好","After a player fell, the referee hurried over and asked, 'You okay?'","球員跌倒後，裁判趕過去問：『你還好嗎？』","A1"
"My fever broke","表示發燒已退，體溫恢復正常","I texted Mom in the morning, 'My fever broke during the night.'","早上我傳訊息給媽媽：『我昨晚退燒了。』","B1"
"Feel better","用來祝身體不適的人早日好轉","I left soup at my coworker's desk and said, 'Feel better soon.'","我把湯放在同事桌上，並祝他早日康復。","A1"
"Get well soon","祝生病或受傷的人早日康復","The class wrote 'Get well soon' on a card for their teacher.","全班在送給老師的卡片上寫著『祝您早日康復』。","A1"
"Count me in","（口語）表示願意參加某項活動","'We're cleaning the beach Saturday.' 'Count me in.'","『我們星期六要去淨灘。』『算我一份。』","B1"
"I owe you one","（口語）受幫助後表示欠對方一個人情","'Thanks for covering my shift—I owe you one,' Nina said.","妮娜說：『謝謝你替我代班，我欠你一個人情。』","B1"
"It's a deal","表示接受條件並達成約定","'I'll sell you the bike for fifty.' 'It's a deal.'","『這輛腳踏車五十元賣你。』『成交。』","A2"
"That's not fair","表示認為某件事不公平","When Leo got fewer chores, his sister protested, 'That's not fair.'","里歐分到較少家事時，妹妹抗議：『這不公平。』","A2"
"Break a leg","演出或比賽前祝對方好運","Backstage, June hugged the actor and said, 'Break a leg tonight.'","在後台，瓊擁抱演員並祝他今晚演出順利。","B1"
"Your call","（口語）表示由對方作最後決定","'Should we launch today or wait?' 'Your call,' the engineer replied.","『我們今天上線還是再等等？』『由你決定。』工程師回答。","B1"
"Did you hear me","確認對方是否聽到自己剛才的話","With the blender running, Dad asked, 'Did you hear me?'","果汁機運轉時，爸爸問：『你有聽到我說話嗎？』","A1"
"Long story short","（口語）省略細節並直接說重點","'Long story short, our canceled flight made us miss the wedding.'","『長話短說，班機取消害我們錯過了婚禮。』","B1"
"Allow me","較正式地表示願意代為協助","Seeing her heavy suitcase, the porter said, 'Allow me.'","行李員看到她沉重的行李箱，便說：『讓我來吧。』","B1"
"Can I try it on","在店裡詢問是否可以試穿某物","Holding up the jacket, I asked, 'Can I try it on?'","我拿起那件外套問：『我可以試穿嗎？』","A1"
"Sure thing","（口語）爽快答應對方的請求","'Could we get two more napkins?' 'Sure thing,' the server replied.","『可以再給我們兩張餐巾嗎？』『當然可以。』服務生回答。","A2"
"Does it fit","詢問衣物或物品的尺寸是否合適","Mom watched me lace the boots and asked, 'Does it fit?'","媽媽看我繫上靴子的鞋帶後問：『合腳嗎？』","A1"
"It doesn't fit","表示衣物或物品的尺寸不合適","I stepped out of the fitting room and said, 'It doesn't fit around the shoulders.'","我走出試衣間說：『這件衣服的肩膀不合身。』","A1"
"Try a size up","建議改試大一號的尺寸","The clerk saw the tight sleeves and suggested, 'Try a size up.'","店員看到袖子太緊，建議道：『試試大一號的。』","A2"
"Give me a break","（口語）表達不耐煩或請對方別再為難","When my friend teased me again, I laughed and said, 'Give me a break.'","朋友又取笑我時，我笑著說：『饒了我吧。』","B1"
"Neither do I","表示自己也不做或不喜歡前述的事","'I don't enjoy horror movies.' 'Neither do I.'","『我不喜歡恐怖片。』『我也不喜歡。』","A2"
"I'll take this","購物時表示決定要買眼前的商品","After comparing the two mugs, I said, 'I'll take this one.'","比較兩個馬克杯後，我說：『我要買這個。』","A1"
"Cash or card","結帳時詢問顧客要用現金或刷卡","The cashier scanned my groceries and asked, 'Cash or card?'","收銀員掃完我的食品後問：『付現還是刷卡？』","A1"
"I'll pay in cash","表示自己會用現金付款","At the pharmacy counter, I said, 'I'll pay in cash.'","在藥局櫃檯，我說：『我要付現。』","A1"
"Please wrap it up","請對方把事情完成並儘快結束","The host signaled to the speaker, 'Please wrap it up in two minutes.'","主持人示意講者：『請在兩分鐘內結束。』","B1"
"I need a receipt","表示自己需要購物或付款收據","Before leaving the hotel, I said, 'I need a receipt for my expense report.'","離開飯店前，我說：『我的費用報告需要收據。』","A1"
"Can I return this","向店家詢問是否可以退回商品","At the electronics counter, Lee asked, 'Can I return this if it doesn't work?'","在電子產品櫃檯，李問：『如果不能用，我可以退貨嗎？』","A2"
"Way to go","（口語）稱讚對方做得很好","After Eva scored her first goal, her coach shouted, 'Way to go!'","伊娃踢進第一球後，教練喊道：『太棒了！』","A2"
"It's going to rain","表示看來快要下雨，提醒對方留意","Mom looked at the dark clouds and said, 'It's going to rain—take an umbrella.'","媽媽看著烏雲說：『快下雨了，帶把傘吧。』","A1"
"What's the plan","（口語）詢問接下來的安排或做法","When everyone arrived at the campsite, Kai asked, 'What's the plan for dinner?'","大家抵達營地後，凱問：『晚餐怎麼安排？』","A1"
"Sort of","（口語）表示有一點或不完全如此","'Are you nervous about the interview?' 'Sort of, but I'm mostly excited.'","『你對面試感到緊張嗎？』『有一點，但我主要是興奮。』","A2"
"I'm with you","表示同意對方，或會支持陪伴對方","During the budget meeting, Rosa nodded and said, 'I'm with you on this.'","預算會議中，蘿莎點頭說：『這件事我支持你。』","A2"
"This is it","（口語）表示關鍵時刻或所找的事物到了","At the final audition, Lena took a breath and thought, 'This is it.'","最後試鏡時，莉娜深吸一口氣，心想：『就是現在了。』","A2"
"I'm thrilled","表示自己非常興奮或欣喜","When the gallery accepted her painting, June said, 'I'm thrilled beyond words.'","畫廊接受她的畫作後，君說：『我高興得難以言喻。』","A2"
"Speak of the devil","（口語）剛談到某人時，那人正好出現","'Speak of the devil—there's Omar now,' Mia said as he entered the café.","奧瑪走進咖啡館時，米雅說：『說曹操，曹操到。』","B1"
"Who is this","通話或訊息中詢問對方身分","I answered the unfamiliar number and asked, 'Who is this?'","我接起陌生號碼的來電，問道：『請問你是誰？』","A1"
"Make up your mind","催促對方作出決定，不要再猶豫","The line was growing, so Nina said, 'Make up your mind and choose a flavor.'","隊伍越排越長，妮娜說：『快決定要哪個口味吧。』","A2"
"As you wish","表示會照對方的意願行事","The tailor nodded and said, 'As you wish; I'll shorten the sleeves.'","裁縫點頭說：『就照您的意思，我會把袖子改短。』","B1"
"Give it a try","鼓勵對方嘗試看看某事","'The climbing wall looks hard.' 'Give it a try—I'll spot you.'","『那面攀岩牆看起來很難。』『試試看，我會在下面保護你。』","A2"
"How did it go","詢問某件剛完成的事結果如何","After Leo's driving test, his sister called and asked, 'How did it go?'","里歐考完駕照後，姊姊打電話問：『結果怎麼樣？』","A1"
"It really hurts","表示身體某處非常疼痛","At the clinic, Ava held her wrist and said, 'It really hurts when I move it.'","在診所裡，艾娃按著手腕說：『我一動它就真的很痛。』","A1"
"It's killing me","（誇張口語）表示疼痛或困擾讓人很難受","Dan loosened his new shoes and groaned, 'It's killing me right here.'","丹鬆開新鞋，呻吟道：『這裡痛死我了。』","B1"
"Thanks a million","（口語）非常感謝對方的幫助","When Priya returned my lost keys, I said, 'Thanks a million—you saved my day.'","普莉雅歸還我遺失的鑰匙時，我說：『太感謝了，你救了我一天。』","A2"
"We are even","表示彼此不再相欠或比分相同","After I paid for lunch, Noah smiled and said, 'We are even now.'","我付完午餐錢後，諾亞笑著說：『我們現在互不相欠了。』","A2"
"Far from it","（口語）強烈否定，表示事實恰恰相反","'Was the hike easy?' 'Far from it—we climbed for six hours.'","『那趟健行輕鬆嗎？』『一點也不，我們爬了六小時。』","B1"
"Whatever you say","表示勉強順從，也可能帶不以為然語氣","Tired of arguing about the route, Ben sighed, 'Whatever you say.'","班不想再爭論路線，嘆氣說：『隨你怎麼說。』","B1"
"No wonder","表示得知原因後覺得結果不足為奇","'The heater is broken.' 'No wonder the office feels so cold.'","『暖氣壞了。』『難怪辦公室這麼冷。』","A2"
"Are you serious","（口語）確認對方是否當真，常帶驚訝","When Jo offered me the concert ticket, I asked, 'Are you serious?'","喬說要把演唱會門票給我時，我問：『你是認真的嗎？』","A2"
"Absolutely not","強烈而明確地拒絕或否定","'Can I drive without a license?' 'Absolutely not,' Dad replied.","『我可以沒有駕照就開車嗎？』『絕對不行。』爸爸回答。","A2"
"Don't get me wrong","避免誤解，用來澄清接下來的看法","'Don't get me wrong—I like the design, but the chair is uncomfortable.'","『別誤會，我喜歡這個設計，只是椅子坐起來不舒服。』","B1"
"It's nothing","淡化自己的付出或安慰對方事情不嚴重","'Thank you for carrying the boxes.' 'It's nothing; I was glad to help.'","『謝謝你搬這些箱子。』『小事而已，我很樂意幫忙。』","A2"
"Don't you see","提醒對方注意顯而易見的情況，語氣較急","Maya pointed at the smoke and cried, 'Don't you see? We need to leave.'","瑪雅指著濃煙喊道：『你沒看見嗎？我們得離開。』","A2"
"I get it","（口語）表示已理解意思或做法","After one more demonstration, Eli nodded and said, 'I get it now.'","又示範一次後，伊萊點頭說：『我現在懂了。』","A1"
"Are you ready","詢問對方是否已準備好","The photographer raised the camera and asked, 'Are you ready?'","攝影師舉起相機問：『你準備好了嗎？』","A1"
"The sooner the better","表示某事越早完成越好","'When should I send the contract?' 'The sooner the better.'","『我什麼時候寄合約？』『越快越好。』","B1"
"Can we make it","詢問是否能及時到達或成功完成","Seeing the airport traffic, Luis asked, 'Can we make it before boarding closes?'","看到前往機場的車潮，路易斯問：『我們能在登機截止前趕到嗎？』","A2"
"Don't rush me","要求對方別催促，讓自己按步調完成","While choosing a gift, Hana told her brother, 'Don't rush me—I need a minute.'","挑禮物時，花奈對哥哥說：『別催我，我需要一點時間。』","A2"
"We're out of time","表示可用時間已經用完","The moderator checked the clock and said, 'We're out of time, so let's stop here.'","主持人看了時鐘說：『我們沒時間了，就到這裡吧。』","A2"
"I'm an only child","表示自己沒有兄弟姊妹","When classmates asked about siblings, Erin said, 'I'm an only child.'","同學問起兄弟姊妹時，艾琳說：『我是獨生女。』","A1"
"For real","（口語）確認事情是否真的，或強調確實如此","'You won front-row tickets?' 'For real—look at the email.'","『你抽到第一排的票？』『真的，你看這封郵件。』","A2"
"Just joking","（口語）說明剛才只是開玩笑，請別當真","When Sam looked worried, I laughed and said, 'Just joking—we aren't moving.'","山姆露出擔心的表情時，我笑說：『開玩笑的，我們沒有要搬家。』","A1"
"Keep that in mind","提醒對方記住某項重要資訊","'Keep that in mind: the last bus leaves at five,' the guide told us.","導遊告訴我們：『請記住，末班車五點開。』","B1"
"That's all I know","表示自己知道的資訊僅止於此","After describing the missing package, the clerk said, 'That's all I know.'","店員說明包裹失蹤的情況後表示：『我知道的就這些。』","A2"
"Stay with me","請對方留在身邊，也可鼓勵其保持清醒","The paramedic held his hand and said, 'Stay with me; help is here.'","救護員握著他的手說：『撐著點，救援到了。』","A2"
"My phone's dead","（口語）表示手機沒電或無法使用","At the station, Ruby said, 'My phone's dead, so I can't show the ticket.'","在車站裡，露比說：『我的手機沒電了，沒辦法出示車票。』","A2"
"Charge your phone","提醒或要求對方替手機充電","Before the storm, Dad said, 'Charge your phone in case the power goes out.'","暴風雨來臨前，爸爸說：『先把手機充好電，以防停電。』","A1"
"You don't say","（口語）可表驚訝，也可反諷事情顯而易見","'The puppy chewed another shoe.' 'You don't say,' Mia replied dryly.","『小狗又咬壞一隻鞋。』『是喔，真看不出來。』米雅冷冷地回道。","B1"
"For here or to go","店員詢問餐點內用還是外帶","At the sandwich counter, the cashier asked, 'For here or to go?'","在三明治櫃檯，店員問：『內用還是外帶？』","A1"
"Enjoy your meal","用餐開始前祝對方用餐愉快","The server set down the pasta and said, 'Enjoy your meal.'","服務生放下義大利麵，說：『請慢用。』","A1"
"Works for me","（口語）表示某個安排自己可以接受","'Let's meet by the library at noon.' 'Works for me.'","『我們中午在圖書館旁碰面。』『我可以。』","A2"
"It's a long story","表示事情複雜，無法三言兩語說完","When coworkers asked about the broken trophy, I sighed, 'It's a long story.'","同事問起破掉的獎盃時，我嘆氣說：『說來話長。』","A2"
"You're right","承認對方的說法或判斷正確","After checking the receipt, the cashier said, 'You're right; I charged you twice.'","收銀員核對收據後說：『你說得對，我重複收費了。』","A1"
"What time is it","詢問現在的時間","My hands were covered in flour, so I asked, 'What time is it?'","我雙手沾滿麵粉，只好問：『現在幾點？』","A1"
"Sooner or later","表示某事遲早會發生","'Sooner or later, the chords will feel natural, so keep practicing.'","『遲早這些和弦會變得順手，所以繼續練習吧。』","B1"
"It doesn't work","表示某物無法運作或某方法無效","I pressed the printer button twice and said, 'It doesn't work.'","我按了兩次印表機按鈕，說：『它不能用。』","A1"
"Don't bother","表示不必麻煩，也可能勸對方別白費力氣","'Should I pick you up?' 'Don't bother; the bus stops outside my house.'","『要我去接你嗎？』『不用麻煩，公車就停在我家門外。』","B1"
"It's about time","表示某事早該發生，常帶不耐或欣慰","When the delayed train arrived, a passenger said, 'It's about time.'","誤點的火車終於抵達時，一名乘客說：『早該來了。』","B1"
"I'm going to go","（口語）表示自己準備離開","As the party quieted down, Theo said, 'I'm going to go; it's getting late.'","派對漸漸安靜後，西奧說：『我要走了，時間不早了。』","A1"
"What's the rush","詢問為何如此匆忙，常用來勸人放慢","When Eva started packing before dessert, I asked, 'What's the rush?'","伊娃甜點還沒吃就開始收拾時，我問：『幹嘛這麼急？』","A2"
"I messed up","（口語）承認自己犯了錯或把事情搞砸","After emailing the wrong client, Mark admitted, 'I messed up.'","馬克把郵件寄錯客戶後坦承：『我搞砸了。』","A2"
"You asked for it","表示後果是對方自找的，語氣可能責備","When Leo complained about the extra-hot sauce, Ana said, 'You asked for it.'","里歐抱怨醬料太辣時，安娜說：『這是你自己要求的。』","B1"
"Fine with me","（口語）表示自己接受某個決定或安排","'We can take the early train instead.' 'Fine with me.'","『我們可以改搭早班火車。』『我沒意見。』","A2"
"I didn't mean it","表示剛才的話並非真心或不是故意的","After her harsh remark, Zoe apologized, 'I didn't mean it; I was upset.'","柔伊說了重話後道歉：『我不是那個意思，我當時很難過。』","A2"
"I'm mad at myself","表示因自己的錯誤而生自己的氣","After forgetting the tickets, Ian said, 'I'm mad at myself for being careless.'","伊恩忘了帶票，說：『我氣自己太粗心。』","A2"
"Give me a hand","（口語）請對方幫忙做某件事","While moving the sofa, Kim called, 'Give me a hand with this end.'","搬沙發時，金喊道：『來幫我抬這一端。』","A2"
"I'm afraid I can't","禮貌表示自己無法答應或做到","When asked to work Sunday, Nia replied, 'I'm afraid I can't; I'll be away.'","被問到週日能否上班時，妮雅回答：『恐怕不行，我不在城裡。』","B1"
"I'll fix you up","（口語）表示會替對方介紹合適的約會對象","When I mentioned being single, Ava laughed and said, 'I'll fix you up with my cousin.'","我提到自己單身時，艾娃笑說：『我來介紹你認識我表親。』","B1"
"Your fly is down","私下提醒對方褲子拉鍊沒拉","At the photo booth, my friend whispered, 'Your fly is down.'","在拍照亭旁，朋友小聲提醒我：『你的褲子拉鍊沒拉。』","A2"
"I'll check it out","（口語）表示會去查看、了解或試試某事物","When Jo recommended the new bakery, I said, 'I'll check it out this weekend.'","喬推薦新麵包店時，我說：『我這週末會去看看。』","A2"
"I slept well","表示自己睡得很好、休息充分","At breakfast, Gran smiled and said, 'I slept well for the first time all week.'","早餐時，奶奶笑著說：『這是我整週第一次睡得好。』","A1"
"You speak English well","稱讚對方英語說得流利或清楚","After the presentation, Mei told Pavel, 'You speak English well.'","簡報結束後，梅對帕維爾說：『你的英語說得很好。』","A1"
"That's all I need","表示所需的東西已足夠，不需要更多","The clerk handed me one form, and I said, 'That's all I need, thanks.'","店員遞給我一張表格，我說：『我只需要這個，謝謝。』","A2"
"I must do it","強調某事自己非做不可","Though the apology felt difficult, Sara said, 'I must do it before I lose her trust.'","儘管道歉很難，莎拉仍說：『我必須在失去她的信任前去做。』","A2"
"Don't even try it","嚴厲警告對方別企圖做某事","When Max reached for the hidden cake, his sister warned, 'Don't even try it.'","麥克斯伸手想拿藏起來的蛋糕時，姊姊警告：『想都別想。』","B1"
"What do you mean","詢問對方話語的意思，也可表示不解","When the doctor mentioned another test, I asked, 'What do you mean?'","醫師提到還要檢查時，我問：『你的意思是什麼？』","A1"
"I'll see to it","表示會親自確保某事得到處理","The supervisor heard about the leak and said, 'I'll see to it right away.'","主管聽說漏水後表示：『我會立刻處理。』","B1"
"It's incredible","表示某事令人難以置信或非常出色","Watching the northern lights, Bea whispered, 'It's incredible.'","看著北極光，碧雅低聲說：『真是太不可思議了。』","A2"
