"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Penchant","/ˈpɛntʃənt/","n.","penchant, penchants","None","對...的強烈愛好","My neighbors have a strong penchant for hosting loud barbecue parties and serving burgers and fries every weekend.","a penchant for drama; penchant for sweets; develop a penchant for","B1"
"Inundate","/ˈɪnʌnˌdeɪt/","v.","inundate, inundates, inundated, inundated, inundating","inundation (n.)","淹沒；使應接不暇","The customer service department was inundated with complaints after the faulty product was released.","inundate with calls; inundate the market; completely inundate","C1"
"Misconception","/ˌmɪskənˈsɛpʃən/","n.","misconception, misconceptions","None","誤解；錯誤觀念","There is a popular misconception that only poor people get these diseases.","common misconception; clear up a misconception; widespread misconception","B2"
"Modify","/ˈmɑdəˌfaɪ/","v.","modify, modifies, modified, modified, modifying","modification (n.), modifier (n.)","修改；更改","The engineering team needs to modify the software to meet the specific requirements of our new enterprise clients.","modify behavior; slightly modify; modify a plan","C1"
"Swift","/swɪft/","adj.","swift, swifter, swiftest","swiftly (adv.), swiftness (n.)","迅速的；敏捷的","The government's swift response to the flood disaster saved hundreds of lives.","swift action; swift response; swift recovery","B1"
"Ambidexterity","/ˌæmbidɛkˈstɛrəti/","n. [U]","no changes","ambidextrous (adj.)","雙手都很靈巧","He credits his ambidexterity to all the broken arms he suffered as a child.","demonstrate ambidexterity; natural ambidexterity; test ambidexterity","B1"
"Gigantic","/dʒaɪˈɡæntɪk/","adj.","gigantic, more gigantic, most gigantic","gigantically (adv.)","巨大的；龐大的","The gigantic wave crashed onto the beach and swept away several beach umbrellas and chairs.","a gigantic task; gigantic proportions; truly gigantic","B1"
"Domestic","/dəˈmɛstɪk/","adj.","domestic, more domestic, most domestic","domestically (adv.), domesticate (v.)","國內的；家庭的","She had not gone to school here and her role was mainly helping with domestic chores.","domestic market; domestic flights; domestic violence","B1"
"Timid","/ˈtɪmɪd/","adj.","timid, more timid, most timid","timidly (adv.), timidity (n.)","膽小的；羞怯的","I was much too timid to ask for what I wanted during the negotiation, resulting in a less favorable contract.","a timid smile; feel timid; timid about","B1"
"Vanish","/ˈvænɪʃ/","v.","vanish, vanishes, vanished, vanished, vanishing","vanishing (v.)","消失；絕跡","The suspect managed to vanish without a trace before the police arrived at the scene.","vanish into thin air; suddenly vanish; completely vanish","C1"
"Poetic","/poʊˈɛtɪk/","adj.","poetic, more poetic, most poetic","poetically (adv.), poetry (n.)","詩意的；充滿詩意的","The poetic landscape attracted many tourists who wanted to experience its unique beauty.","poetic justice; poetic language; highly poetic","C1"
"Eminent","/ˈɛmənənt/","adj.","eminent, more eminent, most eminent","eminence (n.), eminently (adv.)","著名的；顯赫的","It was a grand event attended by hundreds of the country's most eminent scholars.","an eminent scientist; eminent scholar; highly eminent","B2"
"Heritage","/ˈhɛrɪtɪdʒ/","n. [U]","no changes","None","遺產；傳統","The ancient temple is part of our cultural heritage that must be preserved for future generations to appreciate.","cultural heritage; rich heritage; national heritage","C1"
"Vicious","/ˈvɪʃəs/","adj.","vicious, more vicious, most vicious","viciously (adv.), viciousness (n.)","邪惡的；凶殘的","While we were at his place, we were forced to listen to his vicious remarks.","a vicious circle; vicious attack; vicious dog","B1"
"Vice","/vaɪs/","n. [U]","no changes","None","惡習；墮落","Two decades ago, the city was considered by the police to be a haven of vice.","vice and virtue; secret vice; political vice","C1"
"Immoral","/ɪˈmɒrəl/","adj.","immoral, more immoral, most immoral","immorality (n.), immorally (adv.)","不道德的｜not conforming to accepted standards of morality","What he did was not grossly immoral, but it was certainly irresponsible.","grossly immoral; immoral behavior; considered immoral","C1"
"Depraved","/dɪˈpreɪvd/","adj.","depraved, more depraved, most depraved","depravity (n.)","墮落的；腐化的","The court heard shocking testimony about the depraved acts committed by the suspect over several years.","a depraved mind; depraved act; deeply depraved","C1"
"Profligate","/ˈprɑflɪɡət/","adj.","profligate, more profligate, most profligate","profligacy (n.)","揮霍的；放蕩的","We should not tolerate the mayor’s profligate use of taxpayers’ money.","profligate spending; profligate lifestyle; wildly profligate","B1"
"Blameworthy","/ˈbleɪmˌwɜrði/","adj.","blameworthy, more blameworthy, most blameworthy","None","應受責備的","The committee concluded that the manager's decision was blameworthy and had directly caused the accident.","morally blameworthy; highly blameworthy; considered blameworthy","C1"
"Meager","/ˈmiɡər/","adj.","meager, more meager, most meager","meagerly (adv.), meagerness (n.)","微薄的；貧乏的","She lived on a meager salary that barely covered her rent and basic food expenses.","a meager income; meager portions; meager existence","B1"
"Destitute","/ˈdɛstəˌtut/","adj.","destitute, more destitute, most destitute","destitution (n.)","一貧如洗的；赤貧的","The devastating flood left thousands of people completely destitute and homeless just before the harsh winter began.","leave destitute; completely destitute; destitute and homeless","B1"
"Overjoyed","/ˌoʊvərˈdʒɔɪd/","adj.","overjoyed, more overjoyed, most overjoyed","None","狂喜的；極度高興的","Susan is overjoyed to have her husband safely back from the front line.","absolutely overjoyed; overjoyed to hear; overjoyed at","B1"
"Upbeat","/ˈʌpˌbit/","adj.","upbeat, more upbeat, most upbeat","None","樂觀的；快樂的","Despite facing numerous personal difficulties, my brother remains a genuinely upbeat guy who always smiles.","upbeat mood; stay upbeat; generally upbeat","B1"
"Elated","/ɪˈleɪtɪd/","adj.","elated, more elated, most elated","elation (n.)","興高采烈的","She was absolutely elated when she found out she had been accepted into her dream university.","feel elated; absolutely elated; elated by the news","B1"
"Deterioration","/dɪˌtɪriəˈreɪʃən/","n. [U]","no changes","deteriorate (v.)","惡化；退化","The deterioration in the patient’s condition can lead to other complications.","rapid deterioration; signs of deterioration; cause deterioration","B2"
"Recession","/rɪˈsɛʃən/","n.","recession, recessions","recessive (adj.)","經濟衰退；（經濟活動的）顯著下滑期","My father’s factory closed down during the period of economic recession.","economic recession; global recession; fall into recession","C1"
"Triumph","/ˈtraɪəmf/","v.","triumph, triumphs, triumphed, triumphed, triumphing","triumphant (adj.), triumphantly (adv.)","取得勝利；克服","The team managed to triumph over their rivals in the final match of the championship season.","triumph over adversity; eventually triumph; right will triumph","B2"
"Boom","/buːm/","v.","boom, booms, boomed, boomed, booming","booming (v.)","發隆隆聲；繁榮","Online retail sales boomed during the pandemic as consumers shifted away from physical stores.","boom dramatically; boom in popularity; continue to boom","C1"
"Prosperity","/prɑˈspɛrəti/","n. [U]","no changes","prosperous (adj.), prosper (v.)","繁榮；成功","Those who were born during the recession could only dream of a time of peace and prosperity.","economic prosperity; period of prosperity; bring prosperity","B2"
"Fruition","/fruˈɪʃən/","n. [U]","no changes","None","實現；完成","After years of planning and hard work, the long-awaited project finally came to fruition last spring.","come to fruition; bring to fruition; reach fruition","B1"
"Inconsequential","/ɪnˌkɑnsəˈkwɛnʃəl/","adj.","inconsequential, more inconsequential, most inconsequential","inconsequentially (adv.)","微不足道的；不重要的","We talked about inconsequential stuff, basically where we went to school.","seem inconsequential; totally inconsequential; inconsequential detail","B1"
"Implicit","/ɪmˈplɪsɪt/","adj.","implicit, more implicit, most implicit","implicitly (adv.), implication (n.)","含蓄的；絕對的","Even though the movie didn’t exactly blame western culture, it was quite implicit in the story.","implicit trust; implicit assumption; make implicit","B2"
"Indigenous","/ɪnˈdɪdʒənəs/","adj.","no changes","None","本土的；原生的","The region is home to several indigenous communities who have preserved their traditional languages and customs.","indigenous people; indigenous to; indigenous plants","B2"
