"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Boorish","/ˈbʊərɪʃ/","adj.","boorish, more boorish, most boorish","None","粗野的；粗魯的","His boorish conduct during the academic symposium alienated several distinguished colleagues who had previously supported his work.","boorish behavior; boorish conduct; boorish manner","C2"
"Braconid","/ˈbrækənɪd/","n.","braconid, braconids","None","繭蜂（一種寄生性小蜂，常將卵產於其他昆蟲體內）","Entomologists studied how the braconid deposits its eggs inside the bodies of living caterpillars, a strategy central to biological pest control.","braconid wasp; braconid larvae; parasitic braconid","C2"
"Braggart","/ˈbræɡət/","n.","braggart, braggarts","braggartly (adv.)","吹牛的人；自誇的人","The biographer portrayed the inventor as an insufferable braggart who systematically exaggerated his contributions to the field.","loud braggart; insufferable braggart; boastful braggart","C2"
"Brooding","/ˈbruːdɪŋ/","adj.","brooding, more brooding, most brooding","brood (n.), brooder (n.)","徘徊不去的；沉思的；陰森的","The novelist established a brooding atmosphere that critics interpreted as a reflection of postwar anxiety and disillusionment.","brooding silence; brooding atmosphere; brooding presence","C2"
"Browbeat","/ˈbraʊbiːt/","v.","browbeat, browbeats, browbeaten, browbeaten, browbeating","None","恫嚇；威逼","Defense attorneys accused the prosecutor of attempting to browbeat the witness into changing her sworn testimony.","browbeat into submission; browbeat the witness; browbeat someone into","C2"
"Buoyant","/ˈbɔɪənt/","adj.","buoyant, more buoyant, most buoyant","buoyancy (n.), buoyantly (adv.)","能浮起的；愉快的；看漲的","Despite the economic downturn, investor sentiment remained remarkably buoyant, driven by strong corporate earnings.","buoyant force; buoyant economy; remarkably buoyant","C2"
"Calipers","/ˈkælɪpərz/","n.","calipers, caliperses","caliper (n.)","卡鉗；卡尺","Engineers used precision calipers to measure the diameter of the component to within a fraction of a millimetre.","vernier calipers; precision calipers; pair of calipers","C2"
"Calisthenics","/ˌkælɪsˈθenɪks/","n. [U]","no changes","calisthenic (adj.)","健美體操；徒手體操","The training programme incorporated daily calisthenics to improve the participants' muscular endurance and flexibility.","daily calisthenics; perform calisthenics; calisthenics routine","C2"
"Canny","/ˈkæni/","adj.","canny, cannier, canniest","canniness (n.), cannily (adv.)","精明的；靈巧的；謹慎的","The firm's canny investment strategy allowed it to remain profitable throughout the economic downturn.","canny investor; canny move; canny negotiation","C2"
"Cantankerous","/kænˈtæŋkərəs/","adj.","cantankerous, more cantankerous, most cantankerous","cantankerously (adv.)","愛唱反調的；愛打架的；脾氣壞的","The biography portrays the renowned physicist as a brilliant but cantankerous figure who frequently quarrelled with his colleagues.","cantankerous temperament; cantankerous old man; increasingly cantankerous","C2"
"Capitulate","/kəˈpɪtʃuleɪt/","v.","capitulate, capitulates, capitulated, capitulated, capitulating","capitulation (n.)","投降；屈服；讓步","Faced with overwhelming evidence, the corporation was eventually forced to capitulate to the regulatory demands.","forced to capitulate; refuse to capitulate; capitulate completely","C2"
"Captious","/ˈkæpʃəs/","adj.","captious, more captious, most captious","captiously (adv.)","吹毛求疵的；愛批評的","The editor was known for her captious reviews, frequently dismissing manuscripts for minor stylistic imperfections rather than substantive flaws.","captious critic; captious objection; captious remark","C2"
"Caribou","/ˈkærɪbuː/","n.","caribou, caribous","None","北美馴鹿；北美洲及北極地區的一種馴鹿","Researchers tracked the seasonal migration of the caribou across the Arctic tundra to assess the effects of climate change.","caribou migration; herd of caribou; caribou population","C2"
"Carouse","/kəˈraʊz/","v.","carouse, carouses, caroused, caroused, carousing","carousal (n.), carouser (n.)","暢飲作樂；狂飲","Historical accounts describe how the soldiers would carouse late into the night following a decisive victory.","carouse together; carouse freely; night of carousing","C2"
"Castigate","/ˈkæstɪɡeɪt/","v.","castigate, castigates, castigated, castigated, castigating","castigation (n.)","申斥；譴責","The editorial sharply castigated the government for its failure to address the worsening housing crisis.","severely castigate; castigate publicly; castigate for failure","C2"
"Cavalier","/ˌkævəˈlɪər/","adj.","cavalier, more cavalier, most cavalier","None","蠻不在乎的；漫不經心的；傲慢的","The committee criticised the manager's cavalier attitude towards established safety regulations.","cavalier attitude; cavalier disregard; cavalier approach","C2"
"Centurion","/senˈtʃʊəriən/","n.","centurion, centurions","None","古羅馬軍隊的百人隊長","Each centurion in the Roman legion commanded roughly eighty soldiers and enforced strict military discipline.","Roman centurion; experienced centurion; rank of centurion","C2"
"Chemogenetic","/ˌkeməʊdʒəˈnetɪk/","adj.","chemogenetic, more chemogenetic, most chemogenetic","None","化學遺傳學的","Researchers employed a chemogenetic approach to selectively silence the targeted neurons during the behavioral task.","chemogenetic approach; chemogenetic manipulation; chemogenetic tool","C2"
"Chicanery","/ʃɪˈkeɪnəri/","n. [U]","no changes","chicanerous (adj.)","狡辯；詭計；欺騙","The committee concluded that the financial scandal had been concealed through years of deliberate chicanery.","legal chicanery; political chicanery; financial chicanery","C2"
"Chortle","/ˈtʃɔːrtl/","v.","chortle, chortles, chortled, chortled, chortling","None","得意地咯咯叫；開心地笑","The author observed that audiences would chortle with delight at the unexpected reversals in the satirical play.","chortle with delight; chortle gleefully; chortle softly","C2"
"Cinder","/ˈsɪndər/","n.","cinder, cinders","None","灰燼；煤渣","Geologists examined the cinder deposits to reconstruct the sequence of the volcano's earlier eruptions.","volcanic cinder; glowing cinder; cinder deposit","C2"
"Circumspect","/ˈsɜːrkəmspekt/","adj.","circumspect, more circumspect, most circumspect","circumspection (n.), circumspectly (adv.)","謹慎的；深思熟慮的","The scientists remained circumspect about their preliminary findings until the experiment could be independently replicated.","circumspect approach; remarkably circumspect; circumspect assessment","C2"
"Claustrophobia","/ˌklɔːstrəˈfəʊbiə/","n. [U]","no changes","None","密閉恐懼症","Patients undergoing magnetic resonance imaging sometimes report acute claustrophobia within the confined scanner.","acute claustrophobia; severe claustrophobia; induce claustrophobia","C2"
"Claustrophobic","/ˌklɔːstrəˈfəʊbɪk/","adj.","claustrophobic, more claustrophobic, most claustrophobic","None","密閉恐懼的；患密閉恐懼症的","The narrow corridors and low ceilings created a distinctly claustrophobic atmosphere throughout the underground facility.","claustrophobic atmosphere; claustrophobic space; intensely claustrophobic","C2"
"Clout","/klaʊt/","n. [U]","no changes","None","影響力；權力","The institution leveraged its considerable political clout to influence the direction of national education policy.","political clout; considerable clout; economic clout","C2"
"Clout","/klaʊt/","v.","clout, clouts, clouted, clouted, clouting","None","猛擊；重打","The attacker clouted the guard on the back of the head, stunning him before the alarm could be raised.","clout sharply; clout heavily; clout repeatedly","C2"
"Coagulate","/kəʊˈæɡjuleɪt/","v.","coagulate, coagulates, coagulated, coagulated, coagulating","coagulation (n.), coagulum (n.)","凝固；結塊","When exposed to the enzyme, the plasma proteins begin to coagulate and form a stable clot.","begin to coagulate; coagulate rapidly; cause to coagulate","C2"
"Coagulation","/kəʊˌæɡjuˈleɪʃn/","n. [U]","no changes","coagulate (v.)","凝固；凝結","The study examined how calcium ions regulate the coagulation of blood at the site of injury.","blood coagulation; coagulation process; coagulation cascade","C2"
"Coerce","/kəʊˈɜːrs/","v.","coerce, coerces, coerced, coerced, coercing","coercion (n.), coercive (adj.)","強迫；脅迫","The regime attempted to coerce dissenting scholars into endorsing its official version of history.","coerce into; forcibly coerce; coerce compliance","C2"
"Cognizant","/ˈkɒɡnɪzənt/","adj.","cognizant, more cognizant, most cognizant","cognizance (n.)","察覺的；認識到的","Policymakers must remain fully cognizant of the long-term environmental costs associated with rapid industrial expansion.","fully cognizant; cognizant of risks; become cognizant","C2"
"Cohere","/kəʊˈhɪər/","v.","cohere, coheres, cohered, cohered, cohering","coherence (n.), coherent (adj.), cohesion (n.), cohesive (adj.)","有條理；連貫；結合","For an argument to persuade, its individual premises must cohere into a single, logically consistent whole.","cohere into a whole; fail to cohere; ideas cohere","C2"
"Complaisant","/kəmˈpleɪznt/","adj.","complaisant, more complaisant, most complaisant","complaisance (n.)","彬彬有禮的；殷勤的；順從的","The junior diplomat adopted a complaisant manner toward the ambassador, readily agreeing with each proposal to avoid any friction.","complaisant attitude; overly complaisant; complaisant disposition","C2"
"Compunction","/kəmˈpʌŋkʃn/","n. [U]","no changes","None","良心的不安；內疚","The corporation exploited regulatory loopholes without the slightest compunction about the harm inflicted on local communities.","no compunction; feel compunction; without compunction","C2"
"Concerted","/kənˈsɜːrtɪd/","adj.","concerted, more concerted, most concerted","None","共同採取的；協定的；一致的","Addressing climate change demands a concerted effort among governments, industries, and academic institutions worldwide.","concerted effort; concerted action; concerted campaign","C2"
"Confluence","/ˈkɒnfluəns/","n.","confluence, confluences","confluent (adj.)","河流或人的匯合；交匯","The Renaissance emerged from a remarkable confluence of economic prosperity, classical scholarship, and technological innovation.","confluence of factors; confluence of rivers; remarkable confluence","C2"
"Consequential","/ˌkɒnsɪˈkwenʃl/","adj.","consequential, more consequential, most consequential","consequence (n.)","隨之發生的；必然的；重要的","The committee's decision was highly consequential, reshaping the regulatory framework for the entire pharmaceutical industry.","consequential decision; highly consequential; consequential outcome","C2"
"Contraband","/ˈkɒntrəbænd/","n. [U]","no changes","contrabandist (n.)","違禁品；走私貨","Customs officials seized a large quantity of contraband concealed within the shipment of imported machinery.","smuggle contraband; seize contraband; contraband goods","C2"
"Contravene","/ˌkɒntrəˈviːn/","v.","contravene, contravenes, contravened, contravened, contravening","contravention (n.)","違法；違反；牴觸","The proposed legislation would contravene several provisions of the existing international trade agreement.","contravene a law; contravene regulations; contravene a principle","C2"
"Contrive","/kənˈtraɪv/","v.","contrive, contrives, contrived, contrived, contriving","None","發明；計劃；設計；設法做到","The researchers managed to contrive an ingenious experiment that isolated the variable under investigation.","contrive a plan; contrive a solution; contrive a method","C2"
"Contusion","/kənˈtjuːʒn/","n.","contusion, contusions","contuse (v.)","瘀傷；挫傷","The medical examiner documented a severe contusion on the patient's lower limb consistent with blunt trauma.","severe contusion; soft tissue contusion; minor contusion","C2"
"Conundrum","/kəˈnʌndrəm/","n.","conundrum, conundrums","None","謎語；難題","Reconciling individual privacy with collective security remains one of the central conundrums of the digital age.","solve a conundrum; moral conundrum; ethical conundrum","C2"
"Convoluted","/ˈkɒnvəluːtɪd/","adj.","convoluted, more convoluted, most convoluted","convolution (n.)","迴旋的；扭曲的；複雜難懂的","The author's convoluted argument was so difficult to follow that few reviewers could summarize his central thesis.","convoluted argument; convoluted reasoning; convoluted process","C2"
"Corroborate","/kəˈrɒbəreɪt/","v.","corroborate, corroborates, corroborated, corroborated, corroborating","corroboration (n.), corroborative (adj.)","證實；確認","Independent surveys conducted in three regions corroborate the findings of the original laboratory study.","corroborate the findings; corroborate the hypothesis; corroborate the testimony","C2"
"Credence","/ˈkriːdns/","n. [U]","no changes","credible (adj.), credential (n.), credulous (adj.)","信任；相信","The discovery of new fossil evidence lends considerable credence to the theory of gradual evolution.","lend credence; give credence; gain credence","C2"
"Credulity","/krəˈdjuːləti/","n. [U]","no changes","credulous (adj.)","輕信；易信","The extravagant claims made in the advertisement strained the credulity of even the most trusting consumers.","strain one's credulity; public credulity; exploit credulity","C2"
"Crestfallen","/ˈkrestfɔːlən/","adj.","crestfallen, more crestfallen, most crestfallen","None","氣餒的；羞愧地的；垂頭喪氣的","The candidate appeared crestfallen after learning that her proposal had been rejected by the committee.","appear crestfallen; crestfallen expression; look crestfallen","C2"
"Cryptocurrency","/ˈkrɪptəʊkɜːrənsi/","n.","cryptocurrency, cryptocurrencies","None","加密電子錢；加密貨幣","Economists continue to debate whether cryptocurrency can function as a stable store of value during periods of inflation.","cryptocurrency market; cryptocurrency exchange; digital cryptocurrency","C2"
"Curtail","/kɜːrˈteɪl/","v.","curtail, curtails, curtailed, curtailed, curtailing","curtailment (n.)","制止；減少；限制","The university was forced to curtail several research programs after its funding was substantially reduced.","curtail spending; curtail emissions; curtail freedom","C2"
"Dawdle","/ˈdɔːdl/","v.","dawdle, dawdles, dawdled, dawdled, dawdling","dawdler (n.), dawdling (n.)","磨蹭；拖延","Students who dawdle over the introductory sections often fail to complete the examination within the allotted time.","dawdle over; dawdle along; stop dawdling","C2"
"Deadpan","/ˈdedpæn/","adj.","deadpan, more deadpan, most deadpan","None","故作嚴肅的；不動聲色的；面無表情的","The lecturer delivered his most absurd examples in a deadpan tone, leaving students uncertain whether he was joking.","deadpan expression; deadpan humor; deadpan delivery","C2"
"Dearth","/dɜːrθ/","n. [U]","no changes","None","匱乏；缺少","Researchers noted a striking dearth of reliable data on the long-term effects of the new treatment.","dearth of information; dearth of evidence; dearth of resources","C2"
"Debauch","/dɪˈbɔːtʃ/","v.","debauch, debauches, debauched, debauched, debauching","None","使變壞；敗壞；墮落","Critics argued that the regime sought to debauch the currency in order to finance its mounting wartime expenditures.","debauch the currency; morally debauch; debauch public morals","C2"
"Decarbonization","/ˌdiːˌkɑːrbənaɪˈzeɪʃn/","n. [U]","no changes","None","去碳；減碳","Achieving full decarbonization of the industrial sector remains one of the most formidable challenges facing climate policy.","decarbonization goal; industrial decarbonization; path to decarbonization","C2"
"Defunct","/dɪˈfʌŋkt/","adj.","no changes","defunctness (n.)","失靈的；死亡的；不復存在的","The treaty established a regulatory body that became defunct within a decade, leaving its responsibilities unassigned.","defunct company; now defunct; defunct institution","C2"
"Delectable","/dɪˈlektəbl/","adj.","delectable, more delectable, most delectable","None","令人愉悅的；好吃的；美味的","The travel essay described the regional cuisine in such delectable detail that readers could almost taste each dish.","delectable dish; delectable aroma; delectable flavour","C2"
"Dermatologist","/ˌdɜːrməˈtɒlədʒɪst/","n.","dermatologist, dermatologists","dermatology (n.)","皮膚科醫生","The clinical study was supervised by a dermatologist who specialised in the treatment of chronic inflammatory skin conditions.","consult a dermatologist; qualified dermatologist; leading dermatologist","C2"
"Desiccate","/ˈdesɪkeɪt/","v.","desiccate, desiccates, desiccated, desiccated, desiccating","desiccation (n.), desiccant (n.)","使乾燥；脫水","Prolonged exposure to arid winds can desiccate the topsoil, leaving the land unsuitable for cultivation.","desiccate the soil; desiccate plant tissue; completely desiccate","C2"
"Desiccated","/ˈdesɪkeɪtɪd/","adj.","desiccated, more desiccated, most desiccated","desiccation (n.), desiccant (n.)","乾燥的；乾巴巴的","Archaeologists recovered a remarkably preserved, desiccated specimen from the sealed tomb in the desert region.","desiccated remains; desiccated tissue; thoroughly desiccated","C2"
"Despot","/ˈdespɒt/","n.","despot, despots","despotic (adj.), despotical (adj.)","專制者；暴君","The historian argued that the reforms had been imposed not by consensus but by a single ruthless despot.","benevolent despot; ruthless despot; absolute despot","C2"
"Deterrent","/dɪˈterənt/","n.","deterrent, deterrents","deter (v.), deterrence (n.)","威嚇物；抑止物","Economists debated whether stricter penalties actually serve as an effective deterrent against corporate fraud.","effective deterrent; nuclear deterrent; powerful deterrent","C2"
"Deviance","/ˈdiːviəns/","n. [U]","no changes","deviate (adj.), deviant (adj.)","異常；偏離常軌的行為","Sociologists have long examined how communities define and respond to deviance from established social norms.","social deviance; primary deviance; study of deviance","C2"
"Diaphanous","/daɪˈæfənəs/","adj.","diaphanous, more diaphanous, most diaphanous","None","透明的；薄如蟬翼的","The naturalist marvelled at the diaphanous wings of the dragonfly, which transmitted light like fine glass.","diaphanous wings; diaphanous fabric; diaphanous membrane","C2"
"Diatribe","/ˈdaɪətraɪb/","n.","diatribe, diatribes","None","怒斥；抨擊","The pamphlet was less a reasoned argument than a bitter diatribe against the policies of the previous administration.","bitter diatribe; lengthy diatribe; political diatribe","C2"
"Dichotomy","/daɪˈkɒtəmi/","n.","dichotomy, dichotomies","dichotomize (v.), dichotomous (adj.)","一分為二；對立","The author challenges the rigid dichotomy between nature and nurture that has long dominated psychological theory.","false dichotomy; rigid dichotomy; fundamental dichotomy","C2"
"Didactic","/daɪˈdæktɪk/","adj.","didactic, more didactic, most didactic","didacticism (n.), didactics (n.)","說教的；教訓的","Critics found the novel overly didactic, as its narrative seemed designed primarily to instruct rather than to entertain.","didactic tone; didactic approach; didactic purpose","C2"
"Diffidence","/ˈdɪfɪdəns/","n. [U]","no changes","diffident (adj.)","缺乏自信；羞怯；怯懦","Her diffidence in seminars often masked the depth of her research, as she rarely volunteered her well-founded conclusions.","natural diffidence; with diffidence; characteristic diffidence","C2"
"Din","/dɪn/","n. [U]","no changes","None","喧囂；嘈雜聲","The constant din of machinery in the factory made it difficult for researchers to measure ambient noise levels accurately.","incessant din; din of traffic; above the din","C2"
"Dirge","/dɜːrdʒ/","n.","dirge, dirges","None","哀樂；輓歌；悲歌","The composer wove a solemn dirge into the symphony to evoke a sense of collective mourning among the audience.","funeral dirge; mournful dirge; slow dirge","C2"
"Discordant","/dɪsˈkɔːrdənt/","adj.","discordant, more discordant, most discordant","discordance (n.), discord (v.)","刺耳的；不和諧的","The committee's findings were strikingly discordant, with several members rejecting the assumptions that others considered foundational.","discordant note; discordant voices; discordant elements","C2"
