word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Refresh,/ɹɪˈfɹɛʃ/,v.,"refresh, refreshes, refreshed, refreshed, refreshing","refresher (n.), refreshment (n.)",To renew or revitalize.｜使煥然一新或恢復活力,To refresh his memory he brought the paper closer and closer to his eyes.,refresh page; refresh memory; refresh screen,C2
Relentless,/ɹɪˈlɛntlɪs/,adj.,"relentless, more relentless, most relentless","relentlessly (adv.), relentlessness (n.)",Unrelenting or unyielding in severity.｜不寬容的或不放鬆的,"Woo’s relentless feedback has driven steady, incremental improvements.",relentless pursuit; relentless terror; relentless focus,C2
Relic,/ˈɹɛlɪk/,n.,"relic, relics",None,That which remains; that which is left after loss or decay; a remaining portion.｜留存下來的東西；損失或衰敗後剩下的東西；殘餘部分,We examine the properties of relic neutralinos in the regions of the parameter space selected by recent fits to all the electroweak observables within the Minimal Supersymmetric Standard Model.,relics of an ancient era; relic of the past; cultural relic,C2
Reliant,/ɹɪˈlaɪənt/,adj.,"reliant, more reliant, most reliant",reliance (n.),Having reliance on somebody or something.｜依賴於某人或某事物的,"In the coming years, neural networks are likely to become less reliant on learning from massive labelled datasets, and more robust and generalisable in their task performance.",heavily reliant; reliant on technology; become reliant,C2
Reliance,/ɹɪˈlaɪəns/,n.,"reliance, reliances",reliant (adj.),The act of relying (on or in someone or something); trust.｜依賴（某人或某事物）的行為；信任,The research aims to explore how individuals perceive and interact with data protection practices in an era of increasing reliance on technology and the widespread availability of personal data.,greater reliance; reduce reliance; heavy reliance,C2
Remainder,/ɹɪˈmeɪndɚ/,n.,"remainder, remainders",remain (v.),A part or parts remaining after some has/have been removed or already occurred.｜移除部分後或部分已發生後剩餘的部分,"If you spend half the budget now, save the remainder for emergencies later in the year.",remainder of the year; the remainder of; keep the remainder,C2
Reminiscent,/ˌɹɛməˈnɪsənt/,adj.,"reminiscent, more reminiscent, most reminiscent","reminisce (v.), reminiscence (n.)","Of, or relating to reminiscence.｜關於回憶的","Products in the vertical category give an external choice operator that is reminiscent of products in game semantics, and is useful in practical examples.",reminiscent of childhood; vaguely reminiscent; strongly reminiscent,C2
Relay,/ˈɹiˌleɪ/,v.,"relay, relays, relayed, relaid, relaying",None,To pass on or transfer (information).｜傳遞或轉移（資訊）,The correspondent called in to relay the latest developments from the scene of the disaster.,relay station; relay message; relay information,C2
Resentment,/ɹɪˈzɛntmənt/,n. [U],no changes,resent (v.),Anger or displeasure stemming from belief that one or one's group has been wronged or betrayed by others; indignation.｜因相信本人或所屬團體被他人冤枉或背叛而產生的憤怒或不快；憤慨,"A late essay, ""On University Philosophy"", expressed his resentment towards the work conducted in academies.",deep resentment; inspire resentment; resentment towards group,C2
Renowned,/ɹɪˈnaʊnd/,adj.,"renowned, more renowned, most renowned",None,"Famous, celebrated, or well-known; widely praised or highly honored.｜著名的、享有聲望的或眾所周知的；被廣泛讚揚或高度尊敬的",She is a renowned scientist whose work on infectious diseases has saved countless lives.,renowned scientists; renowned economists; renowned expert,C2
Resent,/ɹɪˈzɛnt/,v.,"resent, resents, resented, resented, resenting",resentment (n.),To feel resentment over; to consider as an affront.｜對...感到怨恨；將...視為侮辱,She resented the way her colleagues took credit for ideas she had developed on her own.,resent criticism; resent being ignored; deeply resent,C2
Reptile,/ˈɹɛptaɪl/,n.,"reptile, reptiles",None,"any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms｜爬蟲綱中任何冷血脊椎動物，包括烏龜、陸龜、蛇、蜥蜴、鱷魚、短吻鱷及已滅絕的物種",The warm-blooded mammals gradually displaced the reptile as the dominant vertebrate on land.,flying reptile; early reptiles; marine reptile,C2
Restoration,/ˌɹɛstɚˈeɪʃən/,n.,"restoration, restorations",restore (v.),The process of bringing an object back to its original state; the process of restoring something.｜將物品恢復至原狀的過程；修復的過程。,A major river restoration project in Cumbria has shown that reconnecting rivers to their floodplains can slow the movement of water and improve habitats.,network restoration; restoration of function; grant restoration,C2
Restrain,/ɹisˈtɹeɪn/,v.,"restrain, restrains, restrained, restrained, restraining","restraint (n.), restrainer (n.)",To control or keep in check.｜控制或抑制。,She had to restrain herself from laughing out loud during the serious board meeting.,restrain spending; restrain an animal; restrain oneself,C2
Reside,/ɹɪˈzaɪd/,v.,"reside, resides, resided, resided, residing","resident (adj.), residence (n.), residency (n.)",To dwell permanently or for a considerable time; to have a settled abode for a time; to remain for a long time.｜永久或長時間居住；有固定的住處；長期停留。,"When a change in value of a decision element is considered, a forward move is made if the aggregate fitness of the cluster members residing alongside the decision element is higher.",reside in the brain; reside in a city; reside within,C2
Restraint,/ɹɪsˈtɹeɪnt/,n.,"restraint, restraints",restrain (v.),"Something that restrains, ties, fastens or secures.｜用以約束、綁縛、固定或保護的東西。",He showed remarkable restraint and never once raised his voice during the heated argument.,fiscal restraint; show restraint; with restraint,C2
Reproduce,/ˌɹipɹəˈdus/,v.,"reproduce, reproduces, reproduced, reproduced, reproducing","reproduction (n.), reproductive (adj.)",To produce an image or copy of.｜複製或翻印圖像或複本。,The printer can reproduce the original colours of the painting with surprising accuracy.,cannot reproduce; reproduce results; reproduce experiment,C2
Retort,/ˈɹiˌtɔɹt/,v.,"retort, retorts, retorted, retorted, retorting",None,To say something sharp or witty in answer to a remark or accusation.｜以尖銳或機智的話回應他人的言論或指責。,"Despite their hardships, the animals were easily pacified by Squealer's retort that they were better off than under Mr. Jones.",sharp retort; retort with wit; retort angrily,C2
Resistant,/ɹɪˈzɪstənt/,adj.,"resistant, more resistant, most resistant","resistance (n.), resist (v.)",Which makes resistance or offers opposition.｜抵抗或反對的。,These plants are resistant to drought and can survive long periods without rain.,resistant starch; resistant bacteria; resistant strains,C2
Respective,/ɹɪˈspɛktɪv/,adj.,"respective, more respective, most respective",None,Belonging separately to each of the people mentioned.｜分別屬於所提及的每個人。,"After the party, the guests returned to their respective homes.",respective owners; respective fields; respective countries,C2
