word,ipa,pos,inflections,derivatives,definition,example,collocations,context_type
Alert,/əˈlɝt/,v.,"alert, alerts, alerted, alerted, alerting",alertness (n.),warn or arouse to a sense of danger or call to a state of preparedness｜警告；使警覺；提醒,The sensor alerted staff to a dangerous rise in temperature.,alert authorities; alert the public; alert police,B2
Agent,/ˈeɪdʒənt/,n.,"agent, agents","agency (n.), agential (adj.)",an active and efficient cause; capable of producing a certain effect｜代理人；作用因素,"The rise of 'Meta-Cognitive Controllers' allows AI agents to decide when to use fast intuition versus slow, deliberate logic, enabling systems to recognize their own limitations.",secret agent; foreign agent; real estate agent,B2
Amateur,/ˈæməˌtɝ/,adj.,"amateur, more amateur, most amateur",None,engaged in as a pastime｜業餘的；業餘愛好者,She was an amateur painter who sold her work at the local weekend market.,an amateur photographer; an amateur athlete; amateur theatre,B2
Aggressive,/əˈɡɹɛsɪv/,adj.,"aggressive, more aggressive, most aggressive","aggression (n.), aggressively (adv.)",having or showing determination and energetic pursuit of your ends｜有進取心的；積極進取的,Our major finding is that provided its policy is not too aggressive the Central Bank is successful in achieving its goals.,aggressive version; aggressive algorithm; got aggressive,B2
Alternative,/ɔˈltɝnətɪv/,n.,"alternative, alternatives",None,one of a number of things from which only one can be chosen｜替代品；選項,But I think what I will do in the future is I will think more about alternatives to reverse proxies and web servers.,promising alternative; alternative approach; alternative sources,B2
Anniversary,/ˌænəˈvɝsɚi/,n.,"anniversary, anniversaries",None,the date on which an event occurred in some previous year (or the celebration of it)｜週年紀念日,They celebrated their tenth wedding anniversary with a big party.,anniversary last week; year anniversary; anniversary plans,B2
Amuse,/əˈmjuz/,v.,"amuse, amuses, amused, amused, amusing","amusive (adj.), amusement (n.)","occupy in an agreeable, entertaining or pleasant fashion｜逗…開心；使愉快",The comedian's jokes never failed to amuse the audience.,amuse children; amuse themselves; greatly amuse,B2
Analyze,/ˈænəˌlaɪz/,v.,"analyze, analyzes, analyzed, analyzed, analyzing","analyst (n.), analysis (n.), analyzer (n.)",consider in detail and subject to an analysis in order to discover essential features or meaning｜分析；化驗,New startups showcased systems that use EMG sensors and AI to analyze muscle activation and fatigue in real-time during live training.,analyze data; analyze impact; analyze behavior,B2
Ambitious,/æˈmbɪʃəs/,adj.,"ambitious, more ambitious, most ambitious","ambition (n.), ambitiousness (n.)",having a strong desire for success or achievement｜有雄心的；有抱負的,"The time is ripe to reformulate his ambitious goals, searching for ways to interpret objectively measured brain processes in terms of suitable psychological constructs.",ambitious about; ambitious vision; real ambitious,B2
Applicant,/ˈæplɪkənt/,n.,"applicant, applicants",apply (v.),a person who requests or seeks something such as assistance or employment or admission｜申請人；請求者,"Each year, medical schools collectively reject roughly as many applicants as they ultimately enroll.",qualified applicant; job applicant; successful applicant,B2
Analysis,/əˈnæləsəs/,n.,"analysis, analyses","analyze (v.), analytic (adj.), analytical (adj.)",an investigation of the component parts of a whole and their relations in making up the whole｜分析；分解,Microbiome-first strategies use RNA analysis and AI to deliver hyper-personalized supplement recommendations as the gut environment shifts over time.,comparative analysis; cognitive data analysis; deep political analysis,B2
Ancestor,/ˈæˌnsɛstɚ/,n.,"ancestor, ancestors","ancestral (adj.), ancestry (n.)",someone from whom you are descended (but usually more remote than a grandparent)｜祖先；祖宗,Scientists traced her ancestor back to a small village in southern Ireland.,common ancestor; distant ancestor; trace one's ancestors,B2
Anxiety,/æˈŋzaɪəti/,n. [U],no changes,None,"a feeling of worry, nervousness, or unease about something uncertain or stressful｜焦慮；擔憂；不安","I've had anxiety or live with it for a lot of my life, but sometimes I say hello to it.",feel anxiety; reducing anxiety; looming anxiety,B2
Apology,/əˈpɑlədʒi/,n.,"apology, apologies","apologise (v.), apologist (n.), apologize (v.), apologetic (adj.)",an expression of regret at having caused trouble for someone｜道歉；謝罪,She offered a sincere apology for arriving late and disrupting the meeting.,sincere apology; make apology; accept apology,B2
Approval,/əˈpɹuvəl/,n. [U],no changes,"approve (v.), approbate (v.)",the formal act of approving｜正式核准的行為,New regulations in Turkey have digitalized the EIA process and introduced a direct EIA Positive status for streamlined approval pipelines.,seek approval; win approval; gain approval,B2
Apparent,/əˈpɛɹənt/,adj.,"apparent, more apparent, most apparent","apparency (n.), apparentness (n.)",clearly revealed to the mind or the senses or judgment｜清楚顯露的；顯而易見的,When are people's life trajectories really starting to be apparent.,heir apparent; immediately apparent; become apparent,B2
Annoy,/əˈnɔɪ/,v.,"annoy, annoys, annoyed, annoyed, annoying","annoyer (n.), annoyance (n.)","cause annoyance in; disturb, especially by minor irritations｜使惱怒；打擾（尤指以輕微的刺激）",The constant noise from the construction site began to annoy the nearby residents.,annoy user; greatly annoy; deeply annoy,B2
Annual,/ˈænjuəl/,adj.,no changes,None,happening or done once every year｜每年一次的,This is published in annual review of psychology.,annual report; annual meeting; annual event,B2
Aquarium,/əˈkwɛɹiəm/,n.,"aquarium, aquariums",None,a tank or pool or bowl filled with water for keeping live fish and underwater animals｜裝滿水用於養殖活魚和水生動物的水槽、池塘或魚缸,Elodea is rather unextraordinary: a staple in home aquariums and middle school science classes.,public aquarium; home aquarium; aquarium botanical gardens,B2
Appoint,/əˈpɔɪnt/,v.,"appoint, appoints, appointed, appointed, appointing","appointee (n.), appointive (adj.)",create and charge with a task or function｜任命；指派,It no longer had a king appointed by God.,newly appoint; appoint through; recently appoint,B2
Appreciation,/əˌpɹiʃiˈeɪʃən/,n. [U],no changes,"appreciate (v.), appreciative (adj.)",understanding of the nature or meaning or quality or magnitude of something｜對事物性質、意義、價值或規模的認識,This makes me feel a deep appreciation for the internet and the algorithms that helped give me a career.,deep appreciation; appreciation affection love; typically appreciation,B2
Arch,/ˈɑɹtʃ/,n.,"arch, arches",None,a curved shape in the vertical plane that spans an opening｜垂直平面中跨越開口的弧形結構,The building was supported by a series of elegant stone arches that spanned the entire nave.,stone arch; pointed arch; triumphal arch,B2
Ashamed,/əˈʃeɪmd/,adj.,"ashamed, more ashamed, most ashamed",None,feeling shame or guilt or embarrassment or remorse｜感到羞恥、內疚、尷尬或懊悔,Why would it be that many boys feel they're going to be perceived as feminine if they say they're disappointed or sad or ashamed.,ashamed emotions; sad disappointment ashamed; often deeply ashamed,B2
Application,/ˌæpləˈkeɪʃən/,n.,"application, applications",apply (v.),a formal request; the act of putting something to a particular use｜正式請求；將某物應用於特定用途的行為,She submitted her application to the university before the deadline.,application form; submit an application; job application,B2
Aspirin,/ˈæspɹɪn/,n.,"aspirin, aspirins",None,"a common pain-relieving drug, usually taken as a tablet to reduce pain or fever｜一種常見的止痛藥，通常以藥片形式服用以減輕疼痛或發燒",The doctor recommended taking an aspirin to reduce the fever and ease the pain.,take aspirin; give aspirin; on aspirin,B2
Appropriate,/əˈpɹoʊpɹiət/,adj.,"appropriate, more appropriate, most appropriate","appropriation (n.), appropriateness (n.)",suitable for a particular person or place or condition etc｜適合特定的人、地點或條件等,"Firstly, appropriate terms are introduced and used in explanations related to the framework and within the definition of a mechanism.",appropriate dose; appropriate amount; word appropriate,B2
Artistic,/ɑˈɹtɪstɪk/,adj.,"artistic, more artistic, most artistic","art (n.), artist (n.)",relating to or characteristic of art or artists｜與藝術或藝術家相關的或具有藝術特色的,The director was praised for her bold artistic vision.,artistic vision; artistic integrity; artistic intent,B2
Acid,/ˈæsəd/,n.,"acid, acids","acidify (v.), acidity (n.), acidulate (v.)",any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt｜任何具有酸味的水溶性化合物，能使石蕊變紅並與鹼反應生成鹽,The acid in the battery slowly corroded the metal casing over time.,amino acid; fatty acid; stomach acid,B2
Artificial,/ˌɑɹtəˈfɪʃəl/,adj.,"artificial, more artificial, most artificial",artificiality (n.),made or produced by humans rather than occurring naturally; not real or genuine｜由人類製造或生產的，而非自然發生的；不真實或不真誠的,Researchers are developing artificial materials that can repair themselves after damage.,artificial agents; artificial sources; artificial boom,B2
Arise,/ɚˈaɪz/,v.,"arise, arises, arose, arisen, arising",None,come into existence; take on form or shape｜出現；開始存在,A serious disagreement arose between the two teams over the project timeline.,problem arise; ever arise; arise within,B2
Arms,/ˈɑɹmz/,n.,"arms, no changes",None,weapons considered collectively｜武器的總稱,The government agreed to reduce its supply of arms to the region.,arms race; arms deal; bear arms,B2
Aspect,/ˈæˌspɛkt/,n.,"aspect, aspects",aspectual (adj.),a distinct feature or element in a problem｜問題中一個獨特的部分或要素,I'll get back to that aspect later in the tape room.,beautiful aspect; murder mystery aspect; scaling aspect,B2
Assemble,/əˈsɛmbəl/,v.,"assemble, assembles, assembled, assembled, assembling",assemblage (n.),create by putting components or members together｜將零件或成員組裝在一起以創造某物,"We show the applicability of our approach in a real-world assembly domain, where a bi-manual Baxter robot collaborates with a human teammate to assemble furniture.",assemble a team; assemble into file; assembling from sections,B2
Assistance,/əˈsɪstəns/,n. [U],no changes,assist (v.),the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose｜有助於滿足需求或推進努力或目的的活動,We revisit the task of visible compression of an ensemble of quantum states with entanglement assistance in the one-shot setting.,assistance available; analytical assistance; personalized assistance,B2
Assembly,/əˈsɛmbli/,n.,"assembly, assemblies",None,a group gathered together; the process of fitting parts together; a unit made from assembled parts｜集合在一起的一群人；將零件組裝在一起的過程；由組裝零件製成的部件,The engine assembly was tested before installation.,engine assembly; assembly line; final assembly,B2
Assurance,/əˈʃʊɹəns/,n.,"assurance, assurances",assure (v.),a confident promise or guarantee; freedom from doubt or self-confidence｜自信的承諾或保證；無疑慮或自信,AMD further said it quote expects to apply for licenses but there is no assurance that licenses will be granted.,provide assurance; quality assurance; no assurance,B2
Assign,/əˈsaɪn/,v.,"assign, assigns, assigned, assigned, assigning","assignee (n.), assignable (adj.), assignment (n.), assignation (n.)","to give someone a task or role; to allocate a value, category, or responsibility｜給予某人任務或角色；分配價值、類別或責任",Global availability of information and self-modeling are now used to assign a consciousness probability score that dictates legal protections.,assign a task; assign a score; assign responsibility,B2
Assure,/əˈʃʊɹ/,v.,"assure, assures, assured, assured, assuring",assurance (n.),make certain of｜使確定,"And they assure me, oh, the campus cops, they'll look the other way.",mutual assured; assured of safety; assure about demand,B2
Athletic,/æˈθlɛtɪk/,adj.,"athletic, more athletic, most athletic","athlete (n.), athletics (n.)",relating to or befitting athletics or athletes｜與運動或運動員相關的；適合運動員的,"We'll talk a little bit about your life and maybe your athletic life a little bit later, but I want to talk about dopamine.",athletic outfit; athletic performance; athletic ability,B2
Associate,/əˈsoʊsiət/,v.,"associate, associates, associated, associated, associating","associable (adj.), association (n.), associative (adj.), associatory (adj.)",make a logical or causal connection｜建立邏輯或因果關聯,She is closely associated with the campaign to improve public transport in the city.,often associate; closely associate; associate with,B2
Association,/əˌsoʊsiˈeɪʃən/,n.,"association, associations",associate (v.),"an organization; a connection or relationship between people, things, or variables｜組織；人、事或變數之間的連接或關係","By conducting association analyses, it was found that highly dense station areas tended to display low diversity at multiple scales.",strong association; professional association; association between,B2
Attraction,/əˈtɹækʃən/,n.,"attraction, attractions",attract (v.),something interesting that makes people want to visit or see it｜有趣的事物，使人們想要參觀或觀看,The old castle is the main tourist attraction in this small town.,tourist attraction; main attraction; a strong attraction,B2
Atmosphere,/ˈætməˌsfɪɹ/,n.,"atmosphere, atmospheres","atmospheric (adj.), atmospherical (adj.)",a particular environment or surrounding influence｜特定環境或周圍的影響,"The old library had a quiet, studious atmosphere that encouraged concentration.",upper atmosphere; thin atmosphere; atmosphere shortly,B2
Autobiography,/ˌɔtəbaɪˈɑɡɹəfi/,n.,"autobiography, autobiographies","autobiographer (n.), autobiographical (adj.)",a biography of yourself｜自己的傳記,"I see that as a positive part of my autobiography, and that is what good therapy should be doing.",write autobiography; read autobiography; publish autobiography,B2
Atom,/ˈætəm/,n.,"atom, atoms","atomic (adj.), atomise (v.), atomize (v.)",the smallest unit of a chemical element that keeps the element's properties｜保持元素特性的最小化學元素單位,"Under these conditions, the carbon and metals dissolve into a flux, and the carbon atoms crystallize on the diamond seed.",five atom; atom methods; atom mathematical objects,B2
Atomic,/əˈtɑmɪk/,adj.,no changes,atom (n.),"relating to atoms, or involving the energy released from atoms｜與原子相關的，或涉及原子釋放的能量",Scientists studied the atomic structure of the new material to understand its strength.,atomic bomb; atomic level; atomic energy,B2
Authority,/əˈθɔɹəti/,n. [U],no changes,None,the power or right to give orders or make decisions｜下命令或做決定的權力或權利,"A central result-""the No-Null-Space Leadership Condition""-characterizes leadership as a property of representational reachability rather than persuasion or authority.",religious authority; local authority; central authority,B2
Autograph,/ˈɔtəˌɡɹæf/,n.,"autograph, autographs",None,something written by one's own hand｜自己手寫的東西,The fans asked the actor for his autograph after the show.,sign autographs; autograph session; collect autographs,B2
Ballet,/bæˈleɪ/,n. [U],no changes,balletic (adj.),a type of dance that tells a story with graceful movements set to music｜一種用優美動作配合音樂來講述故事的舞蹈,She studied ballet for ten years before joining the national dance company.,study ballet; classical ballet; a ballet dancer,B2
Attach,/əˈtætʃ/,v.,"attach, attaches, attached, attached, attaching","attachable (adj.), attachment (n.)",cause to be attached｜使附著,She decided to attach the report as a file rather than paste it into the email body.,automatically attach; becoming emotionally attach; military base attach,B2
Authentic,/əˈθɛntɪk/,adj.,"authentic, more authentic, most authentic",authenticity (n.),conforming to fact and therefore worthy of belief｜符合事實因此值得相信,I'm not being authentic and I'm not demonstrating the skill.,authentic taste; authentic resources; authentic aspects,B2
Bald,/ˈbɔld/,adj.,"bald, balder, baldest",baldness (n.),having little or no hair on the top of the head｜頭頂頭髮稀少或沒有頭髮,I do have a bald spot on the top of my head.,bald spot; bald eagles; bald wrinkled man,B2
Bargain,/ˈbɑɹɡən/,n.,"bargain, bargains","bargainer (n.), bargaining (n.)",an agreement between two sides; something bought for less than its usual value｜雙方之間的協議；以低於平常價格購買的東西,The secondhand desk was a real bargain at that price.,good bargain; real bargain; bargain price,B2
Audio,/ˈɑdiˌoʊ/,adj.,no changes,None,"relating to sound that can be heard, especially in recording or broadcasting｜與可聽見的聲音相關的，特別是在錄製或廣播中的","But entering the back of the truck, there's an audio booth on the left.",audio feeds; audio tracks available; audio files,B2
Await,/əˈweɪt/,v.,"await, awaits, awaited, awaited, awaiting",None,look forward to the probable occurrence of｜期待可能的發生,Several difficult decisions await the new manager.,eagerly await; await a decision; challenges await,B2
Bandage,/ˈbændɪdʒ/,n.,"bandage, bandages",None,a piece of soft material that covers and protects an injured part of the body｜覆蓋並保護受傷部位的軟質材料,The nurse wrapped a clean bandage around his injured hand.,clean bandage; apply a bandage; remove the bandage,B2
Bankrupt,/ˈbæŋkɹəpt/,adj.,no changes,bankruptcy (n.),financially ruined｜財務破產,The company went bankrupt after losing its largest customer.,totally bankrupt; gone bankrupt; go bankrupt,B2
Basin,/ˈbeɪsən/,n.,"basin, basins",None,"a large area of low land drained by a river, or a wide natural hollow in the ground｜河流排水的大片低地，或地面上的寬廣天然凹陷","The river basin receives heavy rainfall every summer, which feeds the surrounding farmland.",river basin; catchment basin; ocean basin,B2
Beggar,/ˈbɛɡɚ/,n.,"beggar, beggars",beggarly (adj.),a pauper who lives by begging｜以乞討為生的貧民,"It would be nice if this was an option in the settings or something, but beggars can't be choosers.",street beggar; see beggars; suffer beggar,B2
Blessing,/ˈblɛsɪŋ/,n.,"blessing, blessings",bless (v.),formal approval or a prayer for divine favor; something beneficial or fortunate｜正式批准或祈求神佑；有益或幸運的事物,"And I want to tell you, it's a blessing to be taken seriously by you and to be offered this opportunity.",receive a blessing; great blessing; blessing in disguise,B2
Biography,/baɪˈɑɡɹəfi/,n.,"biography, biographies","biographer (n.), biographical (adj.)",an account of the series of events making up a person's life｜記述個人一生中一系列事件的文章,I really appreciate that and I'm also impressed that you're reading these biographies.,great biography; detailed biography; creative biography,B2
Barrier,/ˈbæɹiɚ/,n.,"barrier, barriers",None,a structure or object that impedes free movement｜阻礙自由行動的結構或物體,"However, its adoption remains limited among scientists outside the deep learning community due to storage, compute, and technical expertise barriers.",put up a barrier; remove a barrier; create a barrier,B2
Battery,/ˈbætɚi/,n.,"battery, batteries",None,a device that stores and provides electrical energy to power equipment｜儲存並提供電能為設備供電的裝置,The old camera battery ran out just before she could take the final shot.,battery mode; social battery; car battery,B2
Behavior,/bɪˈheɪvjɚ/,n. [U],no changes,None,"the way a person, animal, organization, or system acts or responds｜人、動物、組織或系統的行為或反應方式","To address such inquiries, we utilize theoretical tools from scaling theory, enabling a quantitative description of how a system's behavior changes across different scales, from micro to macro.",human behavior; system behavior; behavioral science,B2
Blink,/ˈblɪŋk/,v.,"blink, blinks, blinked, blinked, blinking","blinker (n.), blinking (n.)",to close and open the eyes quickly; to flash on and off｜快速閉合和睜開眼睛；閃爍,I programmed this to blink more brightly depending on the level of sound coming out of a headphone jack.,blink rapidly; blink twice; blink in bright light,B2
Blossom,/ˈblɑsəm/,n.,"blossom, blossoms",None,reproductive organ of angiosperm plants especially one having showy or colorful parts｜被子植物的繁殖器官，特指有鮮豔或彩色部分的,"The most recent major addition was a terraforming feature, and earlier updates added animals, Halloween decorations, cherry blossoms and other seasonal goodies.",blossom even though; blossom doesn't mean; eventually blossom,B2
Biology,/baɪˈɑlədʒi/,n. [U],no changes,"biologic (adj.), biologist (n.), biological (adj.)",the science that studies living organisms｜研究生物體的科學,"Concepts scale invariance, universalities, and fractals are fundamental to this inquiry and find application in biology, physics, and particularly urbanism.",molecular biology; evolutionary biology; in biology,B2
Bin,/ˈbɪn/,n.,"bin, bins",None,a container; usually has a lid｜有蓋的容器,A new generation of automated bin picking systems using deep learning is evolving to support increasing demand for e-commerce.,storage bin; recycling bin; trash bin,B2
Blade,/ˈbleɪd/,n.,"blade, blades",None,"a flat cutting edge; a broad, flat part of a tool, propeller, or leaf｜扁平的切割邊緣；工具、螺旋槳或葉片的寬扁平部分","They're deployed from a truck and are initially boosted by a rocket, but shortly after, a twin blade propeller and a smaller piston engine take over.",razor blade; fan blade; propeller blade,B2
Boast,/ˈboʊst/,v.,"boast, boasts, boasted, boasted, boasting",boaster (n.),to speak with excessive pride; to possess an impressive feature｜過度自豪地說話；擁有令人印象深刻的事物,NBA Live is genuinely a beautiful game with well- modeled players boasting visible sweat droplets and realistic skin rendering.,boast about; boast a long history; boast an impressive collection,B2
Bracelet,/ˈbɹeɪslət/,n.,"bracelet, bracelets",None,a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist｜附於手錶或纏繞手腕的布、皮或金屬鏈帶,"Still, it’s hard to believe the non-college-educated workforce is buying all these luxury watches, Cartier bracelets, or designer handbags.",gold bracelet; charm bracelet; silver bracelet,B2
Blend,/ˈblɛnd/,v.,"blend, blends, blended, blent, blending",blender (n.),combine into one｜結合成為一體,Digital natives are creating a stable hybrid language that blends standard syntax with platform-specific emojis and clipped forms.,perfect blend; blend of flavours; smooth blend,B2
Bloom,/ˈblum/,v.,"bloom, blooms, bloomed, bloomed, blooming",bloomer (n.),to produce flowers; to develop or flourish｜開出花朵；發展或興旺,"The cherry trees bloom every April, attracting tourists from across the country.",full bloom; in bloom; spring bloom,B2
Broom,/ˈbɹum/,n.,"broom, brooms",None,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle｜打掃用的工具；附有長柄的稻草或樹枝束,He grabbed a broom and swept the fallen leaves from the front porch.,dust my broom; broom closet; corn broom,B2
Burglar,/ˈbɝɡlɚ/,n.,"burglar, burglars",burglarise (v.),a thief who enters a building with intent to steal｜侵入建築物意圖竊盜的小偷,"It's putting a burglar in charge of your security or some- I don't know, but it works.",catch a burglar; burglar alarm; unrepentant burglar,B2
Breed,/ˈbɹid/,v.,"breed, breeds, bred, bred, breeding","breeder (n.), breeding (n.)",to raise and keep animals or plants so that they produce young; to produce young｜飼養或種植動植物以使其繁殖；使繁殖,"It's a process called fish stocking, where fish are bred and released into the wild, often for the specific purpose of being fished out.",breed living; major horse breed; breed animals,B2
