"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Mandate","/ˈmæˌndeɪt/","n.","mandate, mandates","mandator (n.), mandatary (n.), mandatory (n.)","a document giving an official instruction or command","The mandate is distinguished from the appeal court's court opinion, which sets out the legal reasoning for its decision.","dual mandate; strong mandate; broader mandate","C1"
"Marine","/mɚˈin/","adj.","no changes","None","of or relating to the sea","In large scale coverage operations, such as marine exploration or aerial monitoring, single robot approaches are not ideal, as they may take too long to cover a large area.","marine ecosystems; marine food chain; marine life","C1"
"Marine","/mɚˈin/","n.","marine, marines","None","a member of the United States Marine Corps","The Alaska Highway, built during the war, and the Alaska Marine Highway, completed in 1963, made the state more accessible than before.","of marines; individual marines; with marines","C1"
"Masculine","/ˈmæskjələn/","adj.","masculine, more masculine, most masculine","masculinity (n.)","of grammatical gender","I have seen some thousands myself and conversed much some thousands myself and conversed much with them and have found in them a with them and have found in them a masculine sound understanding.","masculine form; masculine behavior; healthy masculine","C1"
"Masculine","/ˈmæskjələn/","n. [U]","no changes","masculinity (n.)","a gender that refers chiefly (but not exclusively) to males or to objects classified as male","I have seen some thousands myself and conversed much some thousands myself and conversed much with them and have found in them a with them and have found in them a masculine sound understanding.","real masculine; full masculine; feel masculine","C1"
"Manifest","/ˈmænəˌfɛst/","adj.","manifest, more manifest, most manifest","manifestation (n.)","clearly revealed to the mind or the senses or judgment","And then having an attitude of patience, which is what allows you to play the long game to give your consistency a chance to manifest into progress.","manifest destiny; manifest later; manifest file","C1"
"Manifest","/ˈmænəˌfɛst/","v.","manifest, manifests, manifested, manifested, manifesting","manifestation (n.)","provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes","And then having an attitude of patience, which is what allows you to play the long game to give your consistency a chance to manifest into progress.","manifest in life; manifest health; manifest future","C1"
"Justify","/ˈdʒʌstəˌfaɪ/","v.","justify, justifies, justified, justified, justifying","justifier (n.), justifiable (adj.), justification (n.), justificative (adj.), justificatory (adj.)","show to be reasonable or provide adequate ground for","Several critics, including Nozick, have said her attempt to justify individual rights based on egoism fails.","justify exploitation; justify war; justify use","C1"
"Massage","/məˈsɑʒ/","v.","massage, massages, massaged, massaged, massaging","massager (n.)","manually manipulate (someone's body), usually for medicinal or relaxation purposes","Can you massage what you're doing day in and day out to be a little bit more aligned with your values, to be a little bit more in touch with the things that you care about.","massage feet; massage ego; massage gun made","C1"
"Manipulate","/məˈnɪpjəˌleɪt/","v.","manipulate, manipulates, manipulated, manipulated, manipulating","manipulator (n.), manipulation (n.), manipulative (adj.)","influence or control shrewdly or deviously","For centuries, master artists and craftsmen have brought puppets, automatons, shadow puppets, and fantastical lanterns to life, inspiring the imagination through physically manipulated wonders.","manipulate objects; manipulate people's emotional; manipulate data","C1"
"Masterpiece","/ˈmæstɚˌpis/","n.","masterpiece, masterpieces","None","the most outstanding work of a creative artist or craftsman","JPG is designated as an UNESCO Masterpieces of the Oral and Intangible Heritage of Humanity.","absolute masterpiece; first masterpiece; great masterpieces","C1"
"Meantime","/ˈmiˌntaɪm/","n. [U]","no changes","None","the time between one event, process, or period and another","Lastly, Fiala mentions a critique towards philosophical anarchism of being ineffective (all talk and thoughts) and in the meantime capitalism and bourgeois class remains strong.","in meantime; meantime since; meantime about airport","C1"
"Meantime","/ˈmiˌntaɪm/","adv.","no changes","None","during the intervening time","Lastly, Fiala mentions a critique towards philosophical anarchism of being ineffective (all talk and thoughts) and in the meantime capitalism and bourgeois class remains strong.","meantime since; meantime let's talk; meantime we're excited","C1"
"Mattress","/ˈmætɹəs/","n.","mattress, mattresses","None","a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed","It was then recollected that underneath the horse-hair mattress on which the President lay was another mattress composed of steel wires.","ideal mattress; mattress covers; thin mattress","C1"
"Mentor","/ˈmɛˌntɔɹ/","n.","mentor, mentors","None","a wise and trusted guide and advisor","His legendary spear was given to him by his mentor Chiron before he participated in the Trojan War.","biggest mentor; mentor of mine; amazing mentor","C1"
"Medication","/ˌmɛdəˈkeɪʃən/","n.","medication, medications","medicate (v.)","(medicine) something that treats or prevents or alleviates the symptoms of disease","In comparison, emerging self-care assistive technologies include health and emotion monitoring, smart diapers, smart medication dispensing and management or feeding assistant robot.","medication reminders; new medication; sleeping medication","C1"
"Midst","/ˈmɪdst/","n. [U]","no changes","None","the location of something surrounded by other things","It's this great existential yes that reminds us that life is still worth loving, even in the midst of the worst times.","midst of conflict; midst of war; midst of suffering","C1"
"Metropolitan","/ˌmɛtɹəˈpɑlətən/","adj.","no changes","metropolis (n.)","relating to or characteristic of a metropolis","Our results indicate that a high degree of Technological Coherence is associated with increased economic growth only at the metropolitan area level, while its impact turns negative at larger scales.","tokyo metropolitan; metropolitan areas; metropolitan area","C1"
"Metropolitan","/ˌmɛtɹəˈpɑlətən/","n.","metropolitan, metropolitans","metropolis (n.)","in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity","Our results indicate that a high degree of Technological Coherence is associated with increased economic growth only at the metropolitan area level, while its impact turns negative at larger scales.","tokyo metropolitan; government metropolitan; proedro metropolitan","C1"
"Mechanism","/ˈmɛkəˌnɪzəm/","n.","mechanism, mechanisms","mechanist (n.), mechanical (adj.), mechanistic (adj.)","the atomic process that occurs during a chemical reaction","Instead, evolution has shaped psychological mechanisms, such as emotions, that promote certain altruistic behaviors.","survival mechanism; underlying mechanism; different mechanisms","C1"
"Midst","/ˈmɪdst/","prep.","no changes","None","In the middle of; surrounded by or involved in","It's this great existential yes that reminds us that life is still worth loving, even in the midst of the worst times.","midst price issues; midst and aimed; midst of figuring","C1"
"Metaphor","/ˈmɛtəfɔɹ/","n.","metaphor, metaphors","metaphoric (adj.), metaphorical (adj.)","a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity","The writer used the journey as a metaphor for growing up and finding oneself.","perfect metaphor; good metaphor; different metaphor","C1"
"Massive","/ˈmæsɪv/","adj.","massive, more massive, most massive","massiveness (n.)","imposing in size or bulk or solidity","In these days, people are particularly obsessed with extraordinary success, massive outlier success, multi-multi-billionaire type success.","massive amounts; massive scale; massive unemployment","C1"
"Merge","/ˈmɝdʒ/","v.","merge, merges, merged, merged, merging","merger (n.), merging (n.)","become one","Both Atlas tend to merge in eastern Algeria.","merge requests; merge request; merge changes","C1"
"Miniature","/ˈmɪniəˌtʃʊɹ/","adj.","miniature, more miniature, most miniature","miniaturise (v.), miniaturist (n.), miniaturize (v.)","being on a very small scale","We present CogniDot, an affordable, miniature skin sensor placed on the temporal area on the head that senses cognitive loads with a single-pixel color sensor.","miniature human; miniature version; miniature device","C1"
"Miniature","/ˈmɪniəˌtʃʊɹ/","n.","miniature, miniatures","miniaturise (v.), miniaturist (n.), miniaturize (v.)","painting or drawing included in a book (especially in illuminated medieval manuscripts)","We present CogniDot, an affordable, miniature skin sensor placed on the temporal area on the head that senses cognitive loads with a single-pixel color sensor.","in miniature; tabletop miniatures; plastic miniature","C1"
"Mint","/ˈmɪnt/","n.","mint, mints","minter (n.), mintage (n.)","(often followed by `of') a large number or amount or extent","He made a small mint by selling his old comic collection to eager collectors.","mint green; mint mobile; with mint","C1"
"Missionary","/ˈmɪʃəˌnɛɹi/","n.","missionary, missionaries","None","someone who attempts to convert others to a particular doctrine or program","“My missionary family told me to play with it a toy,” he says, laughingly.","send missionaries; medical missionary; first missionary","C1"
"Missionary","/ˈmɪʃəˌnɛɹi/","adj.","no changes","None","relating to or connected to a religious mission","“My missionary family told me to play with it a toy,” he says, laughingly.","missionary work; missionary family; missionary society","C1"
"Migration","/maɪˈɡɹeɪʃən/","n.","migration, migrations","migrate (v.)","the movement of persons from one country or locality to another","Its modern identity is rooted in centuries of Arab migrations to the Maghreb since Muslim conquest of the Maghreb and the subsequent Arabization of Indigenous peoples Berbers populations.","online migration; migration process; big migration","C1"
"Moan","/ˈmoʊn/","n.","moan, moans","moaner (n.)","an utterance expressing pain or disapproval","Do those convinced pacifists hear the moans coming from there.","good moan; with moan; black snake moan","C1"
"Milestone","/ˈmaɪlˌstoʊn/","n.","milestone, milestones","None","stone post at side of a road to show distances","But if you can break it down into small parts, it gives you these manageable micro milestones along the way.","significant milestone; major milestone; reach milestone","C1"
"Moan","/ˈmoʊn/","v.","moan, moans, moaned, moaned, moaning","moaner (n.)","indicate pain, discomfort, or displeasure","Do those convinced pacifists hear the moans coming from there.","moan with pleasure; moan of cat; moan at destruction","C1"
"Mock","/ˈmɑk/","adj.","mock, mocker, mockest","mocker (n.), mockery (n.)","constituting a copy or imitation of something","The fitting method is extensively tested with a comprehensive suite of mock galaxies, real galaxies from the Sloan Digital Sky Survey and Milky Way globular clusters.","mock charge; mock experiment; mock videos","C1"
"Minimal","/ˈmɪnəməl/","adj.","minimal, more minimal, most minimal","None","the least possible","The repairs caused only minimal disruption to the daily routine of the office.","minimal impact; minimal changes; minimal effort","C1"
"Mock","/ˈmɑk/","v.","mock, mocks, mocked, mocked, mocking","mocker (n.), mockery (n.)","treat with contempt","Many in the opposition press criticized his secretive journey; opposition newspapers mocked Lincoln with caricatures showing him sneaking into the capital.","mock up; mock feud; mock model","C1"
"Minimize","/ˈmɪnəˌmaɪz/","v.","minimize, minimizes, minimized, minimized, minimizing","minimum (n.), minimization (n.)","make small or insignificant","5 μm) to minimize solar heat gain and simultaneously strong LWIR thermal emittance (ε¯LWIR) to maximize radiative heat loss is highly desirable.","minimize energy consumption; minimize cost; minimize risk","C1"
"Monopoly","/məˈnɑpəli/","n.","monopoly, monopolies","monopolise (v.), monopolist (n.), monopolize (v.), monopolistic (adj.)","(economics) a market in which there are many buyers but only one seller","The single supplier had a near monopoly on water in that remote mountain region.","monopoly game; monopoly money; have monopoly","C1"
"Morality","/mɚˈæləti/","n.","morality, moralities","moral (adj.), moralistic (adj.)","concern with the distinction between good and evil or right and wrong; right or good conduct","They harmonized his logic with Islamic theology, employed his scientific methodology to explore the natural world, and reinterpreted his ethics within the framework of Islamic morality.","slave morality; entirely master morality; different morality","C1"
"Mortality","/mɔˈɹtæləti/","n. [U]","no changes","mortal (adj.)","the quality or state of being mortal","Factors that can cause lower life expectancy are maternal mortality, suicide, and gun crimes.","early mortality; mass mortality; reduce mortality","C1"
"Motive","/ˈmoʊtɪv/","n.","motive, motives","motivate (v.), motivity (n.)","the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior","The detective struggled to work out the real motive behind the strange theft.","real motive; ulterior motives; financial motive","C1"
"Mode","/ˈmoʊd/","n.","mode, modes","None","how something is done or how it happens","This then is the mode of the mixture; and the mark of a good mixture of democracy and oligarchy is when it is possible to speak of the same constitution as a democracy and as an oligarchy.","default mode; frame rate mode; into mode","C1"
"Modify","/ˈmɑdəˌfaɪ/","v.","modify, modifies, modified, modified, modifying","modification (n.), modifier (n.)","make less severe or harsh or extreme","Engineers had to modify the original design to make the bridge far stronger.","modify code; modify foods; modify behavior","C1"
"Municipal","/mjuˈnɪsəpəl/","adj.","no changes","municipality (n.)","relating or belonging to or characteristic of a municipality","It remains uncertain whether Hamilton ever constructed the mechanism, but a detailed sketch preserved in the Bordeaux Municipal Library served as the foundation for its modern recreation.","municipal bonds; municipal leaders; municipal water","C1"
"Mumble","/ˈmʌmbəl/","n.","mumble, mumbles","mumbler (n.), mumbling (n.)","a soft indistinct utterance","His reply was little more than a soft mumble that nobody in the room could follow.","mumble of doctrines; mumbling about need; mumble mumble","C1"
"Molecule","/ˈmɑləˌkjul/","n.","molecule, molecules","molecular (adj.)","(physics and chemistry) the simplest structural unit of an element or compound","The longest series of linked carbon atoms in a molecule is known as its Skeletal formula or carbon backbone.","rna molecule; complex molecule; small molecule","C1"
"Mumble","/ˈmʌmbəl/","v.","mumble, mumbles, mumbled, mumbled, mumbling","mumbler (n.), mumbling (n.)","talk indistinctly; usually in a low voice","He tended to mumble his answers, so the teacher often asked him to repeat them.","mumble about need; mumble of doctrines; mumble stuff","C1"
"Mortgage","/ˈmɔɹɡədʒ/","n.","mortgage, mortgages","mortgagee (n.), mortgagor (n.)","a conditional conveyance of property as security for the repayment of a loan","The abstract also records all deeds, will (law), mortgage law, and other documents that affect ownership of the property.","mortgage company; pay mortgage; second mortgage","C1"
"Mustard","/ˈmʌstɚd/","n. [U]","no changes","None","any of several cruciferous plants of the genus Brassica","Thus, we consider crops as pollinator-dependent if their seed production relies on animal pollination, even if the edible portion of the crop does not (for example, carrots and mustard greens).","mustard on top; mustard gas weapons; put mustard","C1"
"Mount","/ˈmaʊnt/","n.","mount, mounts","mounter (n.), mounting (n.)","a lightweight horse kept for riding only","Peleus entrusted Achilles to Chiron, who lived on Mount Pelion and was known as the most righteous of the Centaurs, to be reared.","rack mount; climb mount; on mount","C1"
"Muscular","/ˈmʌskjəlɚ/","adj.","muscular, more muscular, most muscular","muscle (n.), muscularity (n.)","of or relating to or consisting of muscle","The muscular frames and limbs combined with slim waists indicate the Greek desire for health, and the physical capacity which was necessary in the hard Greek environment.","muscular failure; muscular endurance; muscular dystrophy","C1"
"Mount","/ˈmaʊnt/","v.","mount, mounts, mounted, mounted, mounting","mounter (n.), mounting (n.)","to fix something firmly onto a surface or support","The workers mounted the new television on the living room wall.","mount a camera; mount on the wall; mount a shelf","C1"
"Myth","/ˈmɪθ/","n.","myth, myths","mythic (adj.), mythical (adj.), mythologize (v.)","a traditional story accepted as history; serves to explain the world view of a people","Aeschylus and Sophocles used the myth of Antigone to illustrate the conflict between laws imposed by the state and personal autonomy.","flood myth; persistent myth; common myths","C1"
"Nasty","/ˈnæsti/","adj.","nasty, nastier, nastiest","nastiness (n.)","offensive or even (of persons) malicious","She slipped on the ice and suffered a nasty bruise on her left knee.","really nasty; nasty surprise; nasty problem","C1"
"Naive","/ˌnaɪˈiv/","adj.","naive, naiver, naivest","naivety (n.), naively (adv.)","marked by or showing unaffected simplicity and lack of guile or worldly experience","Anarchist perception of human nature, rejection of the state, and commitment to social revolution has been criticised by academics as naive, overly simplistic, and unrealistic, respectively.","naive users; naive approach; naive implementation","C1"
"Narrative","/ˈnæɹətɪv/","n.","narrative, narratives","narrate (v.)","a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program","Many of us turn our attention inward to come up with some narrative that explains our experiences in ways that give shape to our understanding of who we are, our identity.","official narrative; narrative arc; change narrative","C1"
"Narrative","/ˈnæɹətɪv/","adj.","narrative, more narrative, most narrative","narrate (v.)","consisting of or characterized by the telling of a story","Many of us turn our attention inward to come up with some narrative that explains our experiences in ways that give shape to our understanding of who we are, our identity.","official narrative; narrative arc; narrative identity","C1"
"Nominate","/ˈnɑmənət/","v.","nominate, nominates, nominated, nominated, nominating","nominator (n.), nomination (n.), nominative (adj.)","propose as a candidate for some honor","Lee and Young acknowledged her during their speech and tried to get her during their speech and tried to get her nominated for a prize another year.","nominate for prize; nominate to board; nominate member","C1"
"Negotiation","/nɪˌɡoʊʃiˈeɪʃən/","n.","negotiation, negotiations","negotiate (v.)","a discussion intended to produce an agreement","Modell was hospitalized for internal bleeding around the time negotiations were taking place.","negotiation table; intensive negotiation; in negotiation","C1"
"Nomination","/ˌnɑməˈneɪʃən/","n.","nomination, nominations","nominate (v.)","the act of officially naming a candidate","Admission to the program is ongoing and contingent on the nomination of a current Fellow or member of the Hugging Face team.","republican nomination; nomination list; receive nomination","C1"
"Neutral","/ˈnutɹəl/","adj.","neutral, more neutral, most neutral","neutrality (n.)","having no personal preference","What separates excellence from flow, one thing that separates excellence from flow, the first big thing that separates excellence from flow is that flow is values neutral.","morally neutral; neutral outcome; neutral control","C1"
"Neutral","/ˈnutɹəl/","n.","neutral, neutrals","neutrality (n.)","one who does not side with any party in a war or dispute","What separates excellence from flow, one thing that separates excellence from flow, the first big thing that separates excellence from flow is that flow is values neutral.","morally neutral; net neutral; dark neutral","C1"
"Nominee","/ˌnɑməˈni/","n.","nominee, nominees","None","a politician who is running for public office","In the lists below, the winner of the award for each year is shown first, followed by the other nominees in alphabetical order.","republican nominee; presidential nominee; presumptive nominee","C1"
"Nonprofit","/nɑnˈpɹɑfət/","adj.","no changes","None","not commercially motivated","I work for a small nonprofit that does research small nonprofit that does research called the Data Futures Project.","local nonprofit; nonprofit law; nonprofit organization","C1"
"Noticeable","/ˈnoʊtəsəbəl/","adj.","noticeable, more noticeable, most noticeable","notice (v.), noticeability (n.), noticeableness (n.)","capable or worthy of being perceived","Making ingroup membership more noticeable increases cooperativeness.","noticeable impact; noticeable improvements; noticeable difference","C1"
"Notify","/ˈnoʊtəˌfaɪ/","v.","notify, notifies, notified, notified, notifying","notification (n.)","inform (somebody) of something","The Syndic General then notifies the co-princes, who in turn appoint the elected candidate as the prime minister of Andorra.","notify its allies; instantly notify; notify recipient","C1"
"Nutrient","/ˈnutɹiənt/","adj.","nutrient, more nutrient, most nutrient","nutrify (v.)","of or providing nourishment","Huge and constantly floating around slurping and constantly floating around slurping in high volumes of low nutrient food.","nutrient levels; low nutrient; nutrient availability","C1"
"Nutrient","/ˈnutɹiənt/","n.","nutrient, nutrients","nutrify (v.)","any substance that can be metabolized by an animal to give energy and build tissue","Leafy vegetables are an excellent source of nutrient that the body needs daily.","nutrient levels; essential nutrients; receive nutrients","C1"
"Norm","/ˈnɔɹm/","n.","norm, norms","normal (adj.)","a standard or model or pattern regarded as typical","Ultimately, these variations highlight how deeply cultural norms shape the way we approach and experience altruism.","cultural norm; new norm; moral norm","C1"
"Nutrition","/nuˈtɹɪʃən/","n. [U]","no changes","nutrify (v.), nutritious (adj.), nutritional (adj.), nutritionary (adj.), nutritionist (n.)","(physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance","Good nutrition in early childhood lays the foundation for lifelong health.","proper nutrition; good nutrition; workout nutrition","C1"
"Nowhere","/ˈnoʊˌwɛɹ/","n. [U]","no changes","None","an insignificant place","In modern terms, he nowhere says that different species can have a common ancestor, that one kind can speciation, or that kinds can become extinct.","nowhere else; nowhere close; of nowhere","C1"
"Nowhere","/ˈnoʊˌwɛɹ/","adv.","no changes","None","not anywhere; in or at or to no place","In modern terms, he nowhere says that different species can have a common ancestor, that one kind can speciation, or that kinds can become extinct.","nowhere else; nowhere close; lead nowhere","C1"
"Notion","/ˈnoʊʃən/","n.","notion, notions","notional (adj.)","a vague idea in which some confidence is placed","And I think at our core, that happens for the exact same reason, that the good thing in our lives also challenges our notion of who we are.","simplistic notion; rich notion; traditional notion","C1"
"Obligation","/ˌɑbləˈɡeɪʃən/","n.","obligation, obligations","oblige (v.), obligate (v.)","the social force that binds you to the courses of action demanded by that force","We feel a strong obligation to repay the kindness our neighbours showed us.","moral obligation; have obligation; feel obligation","C1"
"Obscure","/əbsˈkjʊɹ/","adj.","obscure, more obscure, most obscure","obscurity (n.)","not clearly understood or expressed","On one hand, the entropy reward, any other intrinsic reward, could obscure the main task reward if it is not properly managed.","obscure paper; pretty obscure; obscure references","C1"
"Obscure","/əbsˈkjʊɹ/","v.","obscure, obscures, obscured, obscured, obscuring","obscurity (n.)","make less visible or unclear","We argue that the coexistence of competing notions of ""trust"" under a shared term obscures important distinctions between psychological trust formation and normative trustworthiness.","obscure connection; obscure visibility; obscure issues","C1"
"Observer","/əˈbzɝvɚ/","n.","observer, observers","observe (v.)","a person who becomes aware (of things or events) through the senses","The speed of light is always constant to any observer.","outside observer; different observers; individual observer","C1"
"Olive","/ˈɑləv/","n.","olive, olives","None","small ovoid fruit of the European olive tree; important food and source of oil","In the north, some of the native flora includes Macchia scrub, Olive, oaks, cedrus and other Pinophyta.","extra virgin olive; of olive; with olive","C1"
"Olive","/ˈɑləv/","adj.","olive, more olive, most olive","None","of a yellow-green color similar to that of an unripe olive","In the north, some of the native flora includes Macchia scrub, Olive, oaks, cedrus and other Pinophyta.","olive oil; olive branch; extra virgin olive","C1"
