period_start,period_end,acceptance_rate,completed_orders,problem_orders,total_orders,per_order_income,bonus,tips,subsidy,avg_rating,ad_deduction,feedback_deduction,total_compensation
2022-06-16,2022-06-30,94,355,1,356,19123,2580,,,4.4,0,0,21703
2022-07-01,2022-07-15,94,372,0,372,20290,2690,,,4.3,0,0,22980
2022-07-16,2022-07-31,94,401,1,402,20764,3050,,,4.4,0,0,23814
2022-08-01,2022-08-15,93,363,1,364,17446,1970,,,4.2,0,0,19416
2022-08-16,2022-08-31,93,382,0,382,18829,2415,,,4.4,0,0,21244
2022-09-01,2022-09-15,94,378,0,378,18688,4190,,,4.8,0,0,22878
2022-09-16,2022-09-30,94,280,1,281,14538,810,,,4.5,0,0,15348
2022-10-01,2022-10-15,90,320,1,321,15941,1685,,,4.9,0,0,17626
2022-10-16,2022-10-31,95,377,0,377,17710,3650,,,5.0,0,0,21360
2022-11-01,2022-11-15,95,263,0,263,13041,1140,,,5.0,0,0,14181
2022-11-16,2022-11-30,94,331,0,331,16371,3980,,,4.4,0,0,20351
2022-12-01,2022-12-15,94,471,0,471,23015,6200,100,0,4.3,0,0,29315
2022-12-16,2022-12-31,95,393,1,394,19531,6068,220,0,4.5,0,0,25819
2023-01-16,2023-01-31,95,265,0,265,12684,2890,160,0,5.0,,,15734
2023-02-16,2023-02-28,92,109,1,110,6055,1115,40,0,4.5,,,7210
2023-03-01,2023-03-15,94,239,4,243,12863,2085,300,0,4.5,,,15248
2023-03-16,2023-03-31,94,318,0,318,16042,2780,300,0,4.9,,,19122
2023-04-01,2023-04-15,96,229,0,229,11149,1920,40,0,4.4,,,13109
2023-04-16,2023-04-30,95,207,1,208,10429,1895,160,0,4.6,,,12484
2023-05-01,2023-05-15,95,145,2,147,7367,1115,40,0,4.4,,,8522
2023-05-16,2023-05-28,95,324,0,324,16563,2800,100,0,4.7,,,19463
2023-05-29,2023-06-11,94,336,1,337,16439,2940,70,0,,,,19449
2023-06-12,2023-06-25,96,249,1,250,12623,2855,70,0,,,,15548
2023-06-26,2023-07-09,96,275,1,276,13631,3075,180,0,,,,16886
2023-07-10,2023-07-23,94,309,2,311,15393,3685,130,0,,,,19208
2023-07-24,2023-08-06,94,218,2,220,11140,2965,190,0,,,,14295
2023-08-07,2023-08-20,92,206,0,206,10128,1970,180,0,,,,12278
2023-08-21,2023-09-03,91,228,1,229,11034,2780,55,0,,,,13869
2023-09-04,2023-09-17,94,301,4,305,14866,2415,115,0,,,,17396
2023-09-18,2023-10-01,93,260,0,260,13188,3280,120,0,,,,16588
2023-10-02,2023-10-15,93,279,1,280,13834,3595,230,0,,,,17659
2023-10-16,2023-10-29,92,258,0,258,12482,2695,150,0,,,,15327
2023-10-30,2023-11-12,93,210,1,211,10529,1675,150,0,,,,12354
2023-11-13,2023-11-26,95,328,0,328,14990,4885,105,0,,,,19980
2023-11-27,2023-12-10,93,363,1,364,16724,6345,90,0,,,,23159
2023-12-11,2023-12-24,94,495,3,498,22689,8650,290,0,,,,31629
2023-12-25,2024-01-07,97,351,0,351,16765,5695,135,0,,,,22595
2024-01-08,2024-01-21,95,453,2,455,22358,7835,285,0,,,,30478
2024-01-22,2024-02-04,94,436,1,437,20265,10410,520,0,,,,31195
2024-02-05,2024-02-18,95,250,1,251,12153,5262,365,0,,,,17780
2024-02-19,2024-03-03,94,556,2,558,26640,9165,300,15,,,,36120
2024-03-04,2024-03-17,94,440,2,442,20956,6525,150,0,,,,27631
2024-03-18,2024-03-31,95,361,2,363,17539,5980,120,0,,,,23639
2024-04-01,2024-04-14,96,478,2,480,22968,6935,165,0,,,,30068
2024-04-15,2024-04-28,93,406,3,409,19445,5990,230,0,,,,25665
2024-04-29,2024-05-12,94,170,2,172,8300,2350,90,0,,,,10740
2024-05-27,2024-06-09,97,507,1,508,23982,11695,475,0,,,,36152
2024-06-10,2024-06-23,96,461,0,461,22081,8205,195,0,,,,30481
2024-06-24,2024-07-07,97,275,0,275,13417,5575,90,0,,,,19082
2024-07-08,2024-07-21,97,400,1,401,19013,5990,225,15,,,,25243
2024-07-22,2024-08-04,96,398,2,400,19278,7335,270,0,,,,26883
2024-08-05,2024-08-18,98,421,1,422,20732,6250,180,0,,,,27162
2024-08-19,2024-09-01,95,429,3,432,21014,6945,210,0,,,,28169
2024-09-02,2024-09-15,96,467,2,469,22079,7290,310,0,,,,29679
2024-09-16,2024-09-29,95,468,1,469,21684,7905,210,0,,,,29799
2024-09-30,2024-10-13,96,330,0,330,15786,5555,270,0,,,,21611
2024-10-14,2024-10-27,96,507,0,507,24031,10130,245,0,,,,34406
2024-10-28,2024-11-10,96,416,3,419,20234,6735,180,0,,,,27149
2024-11-11,2024-11-24,95,487,2,489,23848,7405,300,0,,,,31553
2024-11-25,2024-12-08,96,461,1,462,22225,10240,255,0,,,,32720
2024-12-09,2024-12-22,96,531,2,533,24861,13315,210,0,,,,38386
2024-12-23,2025-01-05,96,600,3,603,27261,17700,360,0,,,,45321
2025-01-06,2025-01-19,95,424,1,425,19224,10770,260,0,,,,30254
2025-01-20,2025-02-02,96,498,1,499,22290,16675,410,0,,,,39375
2025-02-03,2025-02-16,94,544,0,544,24653,18455,535,0,,,,43643
2025-02-17,2025-03-02,95,432,0,432,19848,11135,330,0,,,,31313
2025-03-03,2025-03-16,95,393,2,395,17762,13770,495,0,,,,32027
2025-03-17,2025-03-30,96,412,0,412,19649,10010,285,0,,,,29944
2025-06-09,2025-06-22,95,461,2,463,22113,11310,135,0,,,,33558
2025-06-23,2025-07-06,95,469,3,472,22315,11500,305,0,,,,34120
2025-07-07,2025-07-20,94,460,3,463,20781,10620,480,0,,,,31881
2025-07-21,2025-08-03,94,511,0,511,23096,13160,490,0,,,,36746
2025-08-04,2025-08-17,93,556,1,557,25133,11735,255,0,,,,37123
2025-08-18,2025-08-31,93,425,2,427,19591,10225,345,0,,,,30161
2025-09-01,2025-09-14,95,262,0,262,12127,6615,75,0,,,,18817
2025-09-15,2025-09-28,93,455,2,457,21298,9250,475,0,,,,31023
2025-09-29,2025-10-12,93,481,1,482,22020,10915,500,0,,,,33435
2025-10-13,2025-10-26,92,602,1,603,36850,7595,670,0,,,,45115
2025-10-27,2025-11-09,93,512,0,512,28176,5460,285,0,,,,33921
2025-11-10,2025-11-23,93,519,1,520,32664,6275,610,0,,,,39549
2025-11-24,2025-12-07,95,184,0,184,11467,1570,105,0,,,,13142
2025-12-22,2026-01-04,93,537,4,541,32764,7550,955,0,,,,41269
2026-01-05,2026-01-18,94,417,1,418,25153,4515,225,0,,,,29893
2026-01-19,2026-02-01,93,411,4,415,25784,4825,230,0,,,,30839
2026-02-02,2026-02-15,92,256,2,258,14795,3425,505,0,,,,18725
2026-02-16,2026-03-01,94,374,1,375,23767,3540,315,0,,,,27622
2026-03-02,2026-03-15,92,477,1,478,27406,5435,365,0,,,,33206
2026-03-16,2026-03-29,92,402,1,403,19946,7195,335,0,,,,27476
2026-03-30,2026-04-12,91,427,0,427,19352,13275,410,0,,,,33037
2026-04-13,2026-04-26,90,469,3,472,21058,12850,350,0,,,,34258
